dimension_name,dimension
Month,str:field:IIDB_Claims:F_IIDB_DATE:DATE_NAME
National - Regional - LA - OAs,str:field:IIDB_Claims:V_F_IIDB_CLAIMS:OA11
National - Regional - LA - Ward,str:field:IIDB_Claims:V_F_IIDB_CLAIMS:WARD_CODE
Westminster Parliamentary Constituencies,str:field:IIDB_Claims:V_F_IIDB_CLAIMS:PARLC_CODE
Scottish Parliamentary Constituencies,str:field:IIDB_Claims:V_F_IIDB_CLAIMS:SPC_CODE
Age (bands and single year),str:field:IIDB_Claims:V_F_IIDB_CLAIMS:AGE
Working or Pension age,str:field:IIDB_Claims:V_F_IIDB_CLAIMS:PENSION_AGE
Gender,str:field:IIDB_Claims:V_F_IIDB_CLAIMS:CCSEX
Cause of accident,str:field:IIDB_Claims:V_F_IIDB_CLAIMS:CAUSEACC
Prescribed disease,str:field:IIDB_Claims:V_F_IIDB_CLAIMS:CCCLMTYP
Type of claim,str:field:IIDB_Claims:V_F_IIDB_CLAIMS:CCACCINNUM
