financial_year,ethnic_group_of_the_head_of_the_household_please_calculate_three_year_averages_click_on_i_for_the_correct_method_,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2015-16,Asian/ Asian British,25754.0,9474.0,North East,E12000001
2015-16,Black/ African/ Caribbean/ Black British,6672.0,0.0,North East,E12000001
2015-16,Mixed/ Multiple Ethnic Groups,0.0,8212.0,North East,E12000001
2015-16,Not declared (from 2020/21 onwards),0.0,0.0,North East,E12000001
2015-16,Other Ethnic Group,16899.0,3747.0,North East,E12000001
2015-16,White,2058727.0,452383.0,North East,E12000001
2015-16,Asian/ Asian British,408591.0,228439.0,North West,E12000002
2015-16,Black/ African/ Caribbean/ Black British,64888.0,55900.0,North West,E12000002
2015-16,Mixed/ Multiple Ethnic Groups,34287.0,18790.0,North West,E12000002
2015-16,Not declared (from 2020/21 onwards),0.0,0.0,North West,E12000002
2015-16,Other Ethnic Group,52058.0,23675.0,North West,E12000002
2015-16,White,5197409.0,957038.0,North West,E12000002
2015-16,Asian/ Asian British,276798.0,193105.0,Yorkshire and The Humber,E12000003
2015-16,Black/ African/ Caribbean/ Black British,25215.0,30006.0,Yorkshire and The Humber,E12000003
2015-16,Mixed/ Multiple Ethnic Groups,16205.0,4947.0,Yorkshire and The Humber,E12000003
2015-16,Not declared (from 2020/21 onwards),0.0,0.0,Yorkshire and The Humber,E12000003
2015-16,Other Ethnic Group,50631.0,23804.0,Yorkshire and The Humber,E12000003
2015-16,White,3923393.0,744623.0,Yorkshire and The Humber,E12000003
