Financial Year,Disability Status of the Individual,Gender of the Individual,Educational Attainment of the Individual,Universal Credit (UC) Applicable Family for the Individual,Savings and Investments of Adults in the Family of the Individual,Number of Children in the Family of the Individual,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),0_to_15,16_to_19_child,16_to_24_adult,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_or_over
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"Less than £1,500",No children,Great Britain,0.0,0.0,10005.0,43497.0,17062.0,27829.0,9641.0,43254.0,17146.0,40532.0,21425.0,10015.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"Less than £1,500",No children,Northern Ireland,0.0,0.0,0.0,251.0,1497.0,469.0,0.0,0.0,737.0,511.0,2052.0,269.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"Less than £1,500",One child,Great Britain,0.0,0.0,0.0,2337.0,5150.0,12383.0,10969.0,22613.0,10028.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"Less than £1,500",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,510.0,0.0,1243.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"Less than £1,500",Three or more children,Great Britain,0.0,0.0,0.0,0.0,7529.0,0.0,9677.0,8134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"Less than £1,500",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,565.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"Less than £1,500",Two children,Great Britain,0.0,0.0,0.0,1292.0,8205.0,14685.0,6379.0,11209.0,0.0,1119.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"Less than £1,500",Two children,Northern Ireland,0.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,No savings,No children,Great Britain,0.0,0.0,7615.0,2343.0,6612.0,10810.0,6971.0,5742.0,8279.0,25693.0,17572.0,8972.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,No savings,No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,409.0,718.0,540.0,718.0,0.0,284.0,0.0,0.0,0.0,0.0
