dimension_name,dimension
Quarter,str:field:IBSDA:F_IBSDA_QTR:DATE_NAME
National - Regional - LA - OAs,str:field:IBSDA:V_F_IBSDA:COA_CODE
National - Regional - LA - Ward,str:field:IBSDA:V_F_IBSDA:WARD_CODE
Westminster Parliamentary Constituencies,str:field:IBSDA:V_F_IBSDA:PARLC_CODE
Scottish Parliamentary Constituencies,str:field:IBSDA:V_F_IBSDA:SPC_CODE
Age (bands and single year),str:field:IBSDA:V_F_IBSDA:CNAGE
Benefit Combination,str:field:IBSDA:V_F_IBSDA:rate
Client Type,str:field:IBSDA:V_F_IBSDA:client
Duration of Current Claim,str:field:IBSDA:V_F_IBSDA:duration
Gender of claimant,str:field:IBSDA:V_F_IBSDA:CCSEX
Grouped Amount of Benefit,str:field:IBSDA:V_F_IBSDA:amtgp
Medical condition,str:field:IBSDA:V_F_IBSDA:icdgp
Payment Type,str:field:IBSDA:V_F_IBSDA:bencod
