date,geography_name,geography_code,sex,hours,variable_name,value
2022,North East,E12000001,All,All,number_of_jobs_000s,155
2022,North East,E12000001,All,All,percent,14.8
2022,Darlington UA,E06000005,All,All,number_of_jobs_000s,8
2022,Darlington UA,E06000005,All,All,percent,14.5
2022,Hartlepool UA,E06000001,All,All,number_of_jobs_000s,5
2022,Hartlepool UA,E06000001,All,All,percent,16.1
2022,Middlesbrough UA,E06000002,All,All,number_of_jobs_000s,9
2022,Middlesbrough UA,E06000002,All,All,percent,18
2022,Redcar and Cleveland UA,E06000003,All,All,number_of_jobs_000s,8
2022,Redcar and Cleveland UA,E06000003,All,All,percent,24
2022,Stockton-on-Tees UA,E06000004,All,All,number_of_jobs_000s,10
2022,Stockton-on-Tees UA,E06000004,All,All,percent,12.9
2022,County Durham UA,E06000047,All,All,number_of_jobs_000s,30
2022,County Durham UA,E06000047,All,All,percent,16.6
2022,Northumberland UA,E06000057,All,All,number_of_jobs_000s,14
2022,Northumberland UA,E06000057,All,All,percent,13.8
2022,Tyne and Wear Met County,E11000007,All,All,number_of_jobs_000s,71
2022,Tyne and Wear Met County,E11000007,All,All,percent,13.7
2022,Gateshead,E08000037,All,All,number_of_jobs_000s,15
2022,Gateshead,E08000037,All,All,percent,16
2022,Newcastle upon Tyne,E08000021,All,All,number_of_jobs_000s,23
2022,Newcastle upon Tyne,E08000021,All,All,percent,11.7
2022,North Tyneside,E08000022,All,All,number_of_jobs_000s,9
2022,North Tyneside,E08000022,All,All,percent,11.5
2022,South Tyneside,E08000023,All,All,number_of_jobs_000s,8
2022,South Tyneside,E08000023,All,All,percent,21.8
2022,Sunderland,E08000024,All,All,number_of_jobs_000s,17
2022,Sunderland,E08000024,All,All,percent,14.2
2022,North West,E12000002,All,All,number_of_jobs_000s,367
2022,North West,E12000002,All,All,percent,12.5
2022,Blackburn with Darwen UA,E06000008,All,All,number_of_jobs_000s,8
2022,Blackburn with Darwen UA,E06000008,All,All,percent,13.6
2022,Blackpool UA,E06000009,All,All,number_of_jobs_000s,12
2022,Blackpool UA,E06000009,All,All,percent,18.2
2022,Halton UA,E06000006,All,All,number_of_jobs_000s,7
2022,Halton UA,E06000006,All,All,percent,13.4
2022,Warrington UA,E06000007,All,All,number_of_jobs_000s,11
2022,Warrington UA,E06000007,All,All,percent,10.3
2022,Cheshire East UA,E06000049,All,All,number_of_jobs_000s,16
2022,Cheshire East UA,E06000049,All,All,percent,9
2022,Cheshire West and Chester,E06000050,All,All,number_of_jobs_000s,15
2022,Cheshire West and Chester,E06000050,All,All,percent,10.9
2022,Cumbria,E10000006,All,All,number_of_jobs_000s,27
2022,Cumbria,E10000006,All,All,percent,12.6
2022,Allerdale,E07000026,All,All,number_of_jobs_000s,NA
2022,Allerdale,E07000026,All,All,percent,NA
2022,Barrow-in-Furness,E07000027,All,All,number_of_jobs_000s,NA
2022,Barrow-in-Furness,E07000027,All,All,percent,NA
2022,Carlisle,E07000028,All,All,number_of_jobs_000s,6
2022,Carlisle,E07000028,All,All,percent,10.8
2022,Copeland,E07000029,All,All,number_of_jobs_000s,NA
2022,Copeland,E07000029,All,All,percent,NA
2022,Eden,E07000030,All,All,number_of_jobs_000s,NA
2022,Eden,E07000030,All,All,percent,17.2
2022,South Lakeland,E07000031,All,All,number_of_jobs_000s,5
2022,South Lakeland,E07000031,All,All,percent,13.3
2022,Greater Manchester Met County,E11000001,All,All,number_of_jobs_000s,142
2022,Greater Manchester Met County,E11000001,All,All,percent,12.5
2022,Bolton,E08000001,All,All,number_of_jobs_000s,13
2022,Bolton,E08000001,All,All,percent,13.8
2022,Bury,E08000002,All,All,number_of_jobs_000s,7
2022,Bury,E08000002,All,All,percent,10.9
2022,Manchester,E08000003,All,All,number_of_jobs_000s,36
2022,Manchester,E08000003,All,All,percent,9.7
2022,Oldham,E08000004,All,All,number_of_jobs_000s,14
2022,Oldham,E08000004,All,All,percent,18.1
2022,Rochdale,E08000005,All,All,number_of_jobs_000s,15
2022,Rochdale,E08000005,All,All,percent,22.1
2022,Salford,E08000006,All,All,number_of_jobs_000s,11
2022,Salford,E08000006,All,All,percent,8.9
2022,Stockport,E08000007,All,All,number_of_jobs_000s,12
2022,Stockport,E08000007,All,All,percent,12.2
2022,Tameside,E08000008,All,All,number_of_jobs_000s,10
2022,Tameside,E08000008,All,All,percent,19.4
2022,Trafford,E08000009,All,All,number_of_jobs_000s,12
2022,Trafford,E08000009,All,All,percent,10.9
2022,Wigan,E08000010,All,All,number_of_jobs_000s,13
2022,Wigan,E08000010,All,All,percent,14.2
2022,Lancashire,E10000017,All,All,number_of_jobs_000s,67
