dimension_name,dimension
Pre and Post 3 Dec 2012 Sanctions Regime,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:REGIME
Month Decision Made,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:ESA_MTH
National - Regional - LA - OAs,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:COA_2011
Westminster Parliamentary Constituency,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:PARLC_CODE
Age of Claimant (years and bands),str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:AGEYR
Decision Outcome,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:PUB_DEC
Decision Type,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:PUB_DTYPE
Disability,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:PUB_DISFLG
Ethnic Group,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:SFR_ETH2
Gender,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:SEX
Referral Reason,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:PUB_REAS
Medical Condition,str:field:ESA_sanc_ind:V_F_ESA_SANC_DEC:ICDGP_CODE
Number of Adverse Sanction Decisions - Old and New Regime Combined,str:field:ESA_sanc_ind:F_ESA_SANC_IND:OVTOT_BAND
