Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Ethnic Group of the Head of the Household (please calculate three-year averages - click on i for the correct method),not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2014-15,North East (E12000001),Asian/ Asian British,28976.0,5669.0
2014-15,North East (E12000001),Black/ African/ Caribbean/ Black British,15779.0,4032.0
2014-15,North East (E12000001),Mixed/ Multiple Ethnic Groups,8166.0,1446.0
2014-15,North East (E12000001),Not declared (from 2020/21 onwards),0.0,0.0
2014-15,North East (E12000001),Other Ethnic Group,6210.0,8810.0
2014-15,North East (E12000001),White,2012168.0,480818.0
2014-15,North West (E12000002),Asian/ Asian British,218460.0,162718.0
2014-15,North West (E12000002),Black/ African/ Caribbean/ Black British,91222.0,32775.0
2014-15,North West (E12000002),Mixed/ Multiple Ethnic Groups,28316.0,9365.0
2014-15,North West (E12000002),Not declared (from 2020/21 onwards),0.0,0.0
2014-15,North West (E12000002),Other Ethnic Group,54905.0,46059.0
2014-15,North West (E12000002),White,5296501.0,1069843.0
2014-15,Yorkshire and The Humber (E12000003),Asian/ Asian British,158750.0,174751.0
2014-15,Yorkshire and The Humber (E12000003),Black/ African/ Caribbean/ Black British,40268.0,36666.0
2014-15,Yorkshire and The Humber (E12000003),Mixed/ Multiple Ethnic Groups,20854.0,5543.0
2014-15,Yorkshire and The Humber (E12000003),Not declared (from 2020/21 onwards),0.0,0.0
2014-15,Yorkshire and The Humber (E12000003),Other Ethnic Group,29409.0,11359.0
2014-15,Yorkshire and The Humber (E12000003),White,4033850.0,751033.0
