Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Age of the Youngest Child in the Family of the Individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2021-22,North East (E12000001),0 to 4,296709.0,119715.0
2021-22,North East (E12000001),11 to 15,201345.0,1850.0
2021-22,North East (E12000001),16 to 19,88269.0,6666.0
2021-22,North East (E12000001),5 to 10,306696.0,36699.0
2021-22,North East (E12000001),No children in the family,1301117.0,258732.0
2021-22,North West (E12000002),0 to 4,824928.0,360317.0
2021-22,North West (E12000002),11 to 15,492705.0,81047.0
2021-22,North West (E12000002),16 to 19,172803.0,12238.0
2021-22,North West (E12000002),5 to 10,847188.0,262231.0
2021-22,North West (E12000002),No children in the family,3526447.0,650529.0
2021-22,Yorkshire and The Humber (E12000003),0 to 4,610299.0,225761.0
2021-22,Yorkshire and The Humber (E12000003),11 to 15,354591.0,58897.0
2021-22,Yorkshire and The Humber (E12000003),16 to 19,108186.0,5172.0
2021-22,Yorkshire and The Humber (E12000003),5 to 10,784389.0,149437.0
2021-22,Yorkshire and The Humber (E12000003),No children in the family,2547502.0,585245.0
