Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Ethnic Group of the Head of the Household (please calculate three-year averages - click on i for the correct method),not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2021-22,North East (E12000001),Asian/ Asian British,42017.0,12741.0
2021-22,North East (E12000001),Black/ African/ Caribbean/ Black British,7587.0,0.0
2021-22,North East (E12000001),Mixed/ Multiple Ethnic Groups,15034.0,3081.0
2021-22,North East (E12000001),Not declared (from 2020/21 onwards),0.0,0.0
2021-22,North East (E12000001),Other Ethnic Group,11812.0,1505.0
2021-22,North East (E12000001),White,2117686.0,406335.0
2021-22,North West (E12000002),Asian/ Asian British,519961.0,231460.0
2021-22,North West (E12000002),Black/ African/ Caribbean/ Black British,100753.0,44209.0
2021-22,North West (E12000002),Mixed/ Multiple Ethnic Groups,93331.0,24722.0
2021-22,North West (E12000002),Not declared (from 2020/21 onwards),0.0,0.0
2021-22,North West (E12000002),Other Ethnic Group,83508.0,14712.0
2021-22,North West (E12000002),White,5066518.0,1051259.0
2021-22,Yorkshire and The Humber (E12000003),Asian/ Asian British,240378.0,201286.0
2021-22,Yorkshire and The Humber (E12000003),Black/ African/ Caribbean/ Black British,97058.0,36281.0
2021-22,Yorkshire and The Humber (E12000003),Mixed/ Multiple Ethnic Groups,52655.0,11490.0
2021-22,Yorkshire and The Humber (E12000003),Not declared (from 2020/21 onwards),15543.0,0.0
2021-22,Yorkshire and The Humber (E12000003),Other Ethnic Group,89853.0,7532.0
2021-22,Yorkshire and The Humber (E12000003),White,3909480.0,767923.0
