financial_year,number_of_children_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2016-17,No children,1295830.0,232330.0,North East,E12000001
2016-17,One child,343704.0,87142.0,North East,E12000001
2016-17,Three or more children,132102.0,73371.0,North East,E12000001
2016-17,Two children,329498.0,96563.0,North East,E12000001
2016-17,No children,3386830.0,703597.0,North West,E12000002
2016-17,One child,899660.0,138210.0,North West,E12000002
2016-17,Three or more children,449953.0,326242.0,North West,E12000002
2016-17,Two children,972461.0,191228.0,North West,E12000002
2016-17,No children,2528928.0,508396.0,Yorkshire and The Humber,E12000003
2016-17,One child,690680.0,137581.0,Yorkshire and The Humber,E12000003
2016-17,Three or more children,376270.0,99570.0,Yorkshire and The Humber,E12000003
2016-17,Two children,765751.0,204768.0,Yorkshire and The Humber,E12000003
