financial_year,ethnic_group_of_the_head_of_the_household_please_calculate_three_year_averages_click_on_i_for_the_correct_method_,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2016-17,Asian/ Asian British,46510.0,21395.0,North East,E12000001
2016-17,Black/ African/ Caribbean/ Black British,9641.0,4946.0,North East,E12000001
2016-17,Mixed/ Multiple Ethnic Groups,5886.0,9131.0,North East,E12000001
2016-17,Not declared (from 2020/21 onwards),0.0,0.0,North East,E12000001
2016-17,Other Ethnic Group,14477.0,6832.0,North East,E12000001
2016-17,White,2024620.0,447102.0,North East,E12000001
2016-17,Asian/ Asian British,320801.0,219988.0,North West,E12000002
2016-17,Black/ African/ Caribbean/ Black British,61489.0,61441.0,North West,E12000002
2016-17,Mixed/ Multiple Ethnic Groups,49114.0,20758.0,North West,E12000002
2016-17,Not declared (from 2020/21 onwards),0.0,0.0,North West,E12000002
2016-17,Other Ethnic Group,55808.0,15533.0,North West,E12000002
2016-17,White,5221692.0,1041557.0,North West,E12000002
2016-17,Asian/ Asian British,163901.0,73011.0,Yorkshire and The Humber,E12000003
2016-17,Black/ African/ Caribbean/ Black British,46602.0,41139.0,Yorkshire and The Humber,E12000003
2016-17,Mixed/ Multiple Ethnic Groups,26141.0,15973.0,Yorkshire and The Humber,E12000003
2016-17,Not declared (from 2020/21 onwards),0.0,0.0,Yorkshire and The Humber,E12000003
2016-17,Other Ethnic Group,51706.0,12546.0,Yorkshire and The Humber,E12000003
2016-17,White,4073279.0,807646.0,Yorkshire and The Humber,E12000003
