Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Age of the Youngest Child in the Family of the Individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2011-12,North East (E12000001),0 to 4,371288.0,88902.0
2011-12,North East (E12000001),11 to 15,205732.0,45304.0
2011-12,North East (E12000001),16 to 19,102458.0,11582.0
2011-12,North East (E12000001),5 to 10,236327.0,47235.0
2011-12,North East (E12000001),No children in the family,1170159.0,284216.0
2011-12,North West (E12000002),0 to 4,1030687.0,298593.0
2011-12,North West (E12000002),11 to 15,511702.0,98410.0
2011-12,North West (E12000002),16 to 19,232689.0,35943.0
2011-12,North West (E12000002),5 to 10,616881.0,178211.0
2011-12,North West (E12000002),No children in the family,3362256.0,602224.0
2011-12,Yorkshire and The Humber (E12000003),0 to 4,762993.0,247974.0
2011-12,Yorkshire and The Humber (E12000003),11 to 15,421871.0,104457.0
2011-12,Yorkshire and The Humber (E12000003),16 to 19,152834.0,17080.0
2011-12,Yorkshire and The Humber (E12000003),5 to 10,490908.0,60647.0
2011-12,Yorkshire and The Humber (E12000003),No children in the family,2434216.0,528620.0
