Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Number of Children in the Family of the Individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2011-12,North East (E12000001),No children,1170159.0,284216.0
2011-12,North East (E12000001),One child,406626.0,85931.0
2011-12,North East (E12000001),Three or more children,104632.0,57253.0
2011-12,North East (E12000001),Two children,404547.0,49839.0
2011-12,North West (E12000002),No children,3362256.0,602224.0
2011-12,North West (E12000002),One child,1066137.0,157936.0
2011-12,North West (E12000002),Three or more children,394199.0,210514.0
2011-12,North West (E12000002),Two children,931623.0,242707.0
2011-12,Yorkshire and The Humber (E12000003),No children,2434216.0,528620.0
2011-12,Yorkshire and The Humber (E12000003),One child,790430.0,127439.0
2011-12,Yorkshire and The Humber (E12000003),Three or more children,404612.0,164434.0
2011-12,Yorkshire and The Humber (E12000003),Two children,633564.0,138285.0
