dimension_name,dimension
IIDB Reassessments,str:count:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS
Month,str:field:IIDB_Reassessments:F_IIDB_DATE:DATE_NAME
Geography (residence-based),str:group:IIDB_Reassessments:X_Geography+%28residence-based%29
Age (bands and single year),str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:AGE
Working or Pension age,str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:PENSION_AGE
Gender,str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:CCSEX
Cause of accident,str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:CAUSEACC
Prescribed disease,str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:CCCLMTYP
Type of claim,str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:CCACCINNUM
Degree of disablement,str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:CCPERASS
Action type,str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:CCACTYP
Outcome,str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:CCOTCOM
Standard Industrial Classification,str:field:IIDB_Reassessments:V_F_IIDB_REASSESSMENTS:CCINDACT2
