financial_year,age_of_the_youngest_child_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2017-18,0 to 4,300907.0,113983.0,North East,E12000001
2017-18,11 to 15,203826.0,26934.0,North East,E12000001
2017-18,16 to 19,47701.0,14596.0,North East,E12000001
2017-18,5 to 10,255419.0,68633.0,North East,E12000001
2017-18,No children in the family,1281240.0,284358.0,North East,E12000001
2017-18,0 to 4,966652.0,393636.0,North West,E12000002
2017-18,11 to 15,397276.0,147324.0,North West,E12000002
2017-18,16 to 19,170142.0,35986.0,North West,E12000002
2017-18,5 to 10,758063.0,154771.0,North West,E12000002
2017-18,No children in the family,3419547.0,688811.0,North West,E12000002
2017-18,0 to 4,767530.0,333929.0,Yorkshire and The Humber,E12000003
2017-18,11 to 15,303613.0,88092.0,Yorkshire and The Humber,E12000003
2017-18,16 to 19,176203.0,18595.0,Yorkshire and The Humber,E12000003
2017-18,5 to 10,515070.0,122092.0,Yorkshire and The Humber,E12000003
2017-18,No children in the family,2503927.0,521946.0,Yorkshire and The Humber,E12000003
