financial_year,ethnic_group_of_the_head_of_the_household_please_calculate_three_year_averages_click_on_i_for_the_correct_method_,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2017-18,Asian/ Asian British,58106.0,37381.0,North East,E12000001
2017-18,Black/ African/ Caribbean/ Black British,6401.0,11875.0,North East,E12000001
2017-18,Mixed/ Multiple Ethnic Groups,16139.0,0.0,North East,E12000001
2017-18,Not declared (from 2020/21 onwards),0.0,0.0,North East,E12000001
2017-18,Other Ethnic Group,40584.0,20924.0,North East,E12000001
2017-18,White,1967863.0,438324.0,North East,E12000001
2017-18,Asian/ Asian British,337506.0,234915.0,North West,E12000002
2017-18,Black/ African/ Caribbean/ Black British,83218.0,34042.0,North West,E12000002
2017-18,Mixed/ Multiple Ethnic Groups,39951.0,5444.0,North West,E12000002
2017-18,Not declared (from 2020/21 onwards),0.0,0.0,North West,E12000002
2017-18,Other Ethnic Group,30319.0,59117.0,North West,E12000002
2017-18,White,5220686.0,1087010.0,North West,E12000002
2017-18,Asian/ Asian British,145370.0,138940.0,Yorkshire and The Humber,E12000003
2017-18,Black/ African/ Caribbean/ Black British,39184.0,23370.0,Yorkshire and The Humber,E12000003
2017-18,Mixed/ Multiple Ethnic Groups,12238.0,46142.0,Yorkshire and The Humber,E12000003
2017-18,Not declared (from 2020/21 onwards),0.0,0.0,Yorkshire and The Humber,E12000003
2017-18,Other Ethnic Group,36068.0,29263.0,Yorkshire and The Humber,E12000003
2017-18,White,4033483.0,846939.0,Yorkshire and The Humber,E12000003
