Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Number of Children in the Family of the Individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2017-18,North East (E12000001),No children,1281240.0,284358.0
2017-18,North East (E12000001),One child,308217.0,59321.0
2017-18,North East (E12000001),Three or more children,131033.0,100712.0
2017-18,North East (E12000001),Two children,368603.0,64113.0
2017-18,North West (E12000002),No children,3419547.0,688811.0
2017-18,North West (E12000002),One child,840384.0,137889.0
2017-18,North West (E12000002),Three or more children,415521.0,334632.0
2017-18,North West (E12000002),Two children,1036228.0,259196.0
2017-18,Yorkshire and The Humber (E12000003),No children,2503927.0,521946.0
2017-18,Yorkshire and The Humber (E12000003),One child,725167.0,173058.0
2017-18,Yorkshire and The Humber (E12000003),Three or more children,286031.0,198712.0
2017-18,Yorkshire and The Humber (E12000003),Two children,751218.0,190938.0
