financial_year,savings_and_investments_of_adults_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2017-18,"Less than £1,500",166070.0,26956.0,North East,E12000001
2017-18,No savings,1052344.0,322710.0,North East,E12000001
2017-18,"£1,500 but less than £3,000",105549.0,24538.0,North East,E12000001
2017-18,"£10,000 but less than £16,000",127655.0,11698.0,North East,E12000001
2017-18,"£16,000 but less than £20,000",56561.0,2506.0,North East,E12000001
2017-18,"£20,000 or more",257560.0,38590.0,North East,E12000001
2017-18,"£3,000 but less than £8,000",269580.0,60732.0,North East,E12000001
2017-18,"£8,000 but less than £10,000",53774.0,20774.0,North East,E12000001
2017-18,"Less than £1,500",744130.0,115050.0,North West,E12000002
2017-18,No savings,2464617.0,966692.0,North West,E12000002
2017-18,"£1,500 but less than £3,000",393317.0,71061.0,North West,E12000002
2017-18,"£10,000 but less than £16,000",307046.0,42536.0,North West,E12000002
2017-18,"£16,000 but less than £20,000",96194.0,10337.0,North West,E12000002
2017-18,"£20,000 or more",905736.0,106962.0,North West,E12000002
2017-18,"£3,000 but less than £8,000",664226.0,74749.0,North West,E12000002
2017-18,"£8,000 but less than £10,000",136414.0,33141.0,North West,E12000002
2017-18,"Less than £1,500",558211.0,95293.0,Yorkshire and The Humber,E12000003
2017-18,No savings,1466779.0,641061.0,Yorkshire and The Humber,E12000003
2017-18,"£1,500 but less than £3,000",406402.0,59297.0,Yorkshire and The Humber,E12000003
2017-18,"£10,000 but less than £16,000",307780.0,51417.0,Yorkshire and The Humber,E12000003
2017-18,"£16,000 but less than £20,000",82936.0,8718.0,Yorkshire and The Humber,E12000003
2017-18,"£20,000 or more",778591.0,111772.0,Yorkshire and The Humber,E12000003
2017-18,"£3,000 but less than £8,000",532812.0,105083.0,Yorkshire and The Humber,E12000003
2017-18,"£8,000 but less than £10,000",132832.0,12013.0,Yorkshire and The Humber,E12000003
