dimension_name,dimension
PIP Cases with Entitlement,str:count:PIP_Monthly:V_F_PIP_MONTHLY
Month,str:field:PIP_Monthly:F_PIP_DATE:DATE2
Geography (residence-based) - SELECT POLICY OWNERSHIP,str:group:PIP_Monthly:X_Geography+%28residence-based%29+-+SELECT+POLICY+OWNERSHIP
Age (bands and single year),str:field:PIP_Monthly:V_F_PIP_MONTHLY:SINGLE_AGE
Daily Living Award Status,str:field:PIP_Monthly:V_F_PIP_MONTHLY:DL_AWARD_TYPE
Disability,str:field:PIP_Monthly:V_F_PIP_MONTHLY:DISABILITY_CODE
Duration of Claim,str:field:PIP_Monthly:V_F_PIP_MONTHLY:DURATIONS
Gender,str:field:PIP_Monthly:V_F_PIP_MONTHLY:SEX
ICD Summary Code,str:field:PIP_Monthly:V_F_PIP_MONTHLY:ICD_SUMMARY_CODE
Mobility Award Status,str:field:PIP_Monthly:V_F_PIP_MONTHLY:MOB_AWARD_TYPE
Re-assessment Indicator,str:field:PIP_Monthly:V_F_PIP_MONTHLY:REASSESSMENT_IND
End of Life Rules Indicator,str:field:PIP_Monthly:V_F_PIP_MONTHLY:TERMINALLY_ILL_RULES_IND
State Pension Age,str:field:PIP_Monthly:V_F_PIP_MONTHLY:SPA
