dimension_name,dimension
Work and Health Programme Job Outcomes,str:count:WHP_Outcomes:V_F_WHP_OUTCOMES
Start Month,str:field:WHP_Outcomes:F_WHP_DATE:DATE_NAME
Job Outcome Month,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:PAYMENT_MONTH
Geography (residence-based),str:group:WHP_Outcomes:X_Geography+%28residence-based%29
Age (bands and single year),str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:AGE
Area,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:CONTRACT_REFERENCE_NUMBER
Devolved Deal Area,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:DDA_FLAG
Eligibility Group,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:ENTRY_TYPE
Gender,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:CCSEX
Job Outcomes Achieved,str:group:WHP_Outcomes:X_Job+Outcomes+Achieved
