dimension_name,dimension
Financial Year,str:field:HBAI:V_F_HBAI:YEAR
Age-band of the Individual,str:field:HBAI:V_F_HBAI:AGEBAND_CHLOW
Type of Individual by Age Category,str:field:HBAI:V_F_HBAI:TYPE_AGECAT
Gender of the Individual,str:field:HBAI:V_F_HBAI:SEX
Disability Status of the Individual,str:field:HBAI:V_F_HBAI:DIS
Educational Attainment of the Individual,str:field:HBAI:V_F_HBAI:EDATTAIN
Universal Credit (UC) Applicable Family for the Individual,str:field:HBAI:V_F_HBAI:NEWFAMBU_UC
Marital Status of Adults and Type of Couple in the Family of the Individual,str:field:HBAI:V_F_HBAI:COUPLE
Savings and Investments of Adults in the Family of the Individual,str:field:HBAI:V_F_HBAI:CAPITAL
Number of Children in the Family of the Individual,str:field:HBAI:V_F_HBAI:NUMBKIDS
Age of the Youngest Child in the Family of the Individual,str:field:HBAI:V_F_HBAI:YOUNGCH
Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),str:field:HBAI:V_F_HBAI:GVTREGN_LON
Tenure Type of the Household of the Individual,str:field:HBAI:V_F_HBAI:TENHBAI
Council Tax Band of the Household of the Individual,str:field:HBAI:V_F_HBAI:CTBAND
Household Status (conventional or shared) of the Household of the Individual,str:field:HBAI:V_F_HBAI:HHSHARE
Household Food Security Status for the Household of the Individual (please exclude shared households from analysis - click on i for the correct method),str:field:HBAI:V_F_HBAI:HFS_STATUS
