financial_year,ethnic_group_of_the_head_of_the_household_please_calculate_three_year_averages_click_on_i_for_the_correct_method_,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2012-13,Asian/ Asian British,34446.0,0.0,North East,E12000001
2012-13,Black/ African/ Caribbean/ Black British,0.0,0.0,North East,E12000001
2012-13,Mixed/ Multiple Ethnic Groups,2976.0,3345.0,North East,E12000001
2012-13,Not declared (from 2020/21 onwards),0.0,0.0,North East,E12000001
2012-13,Other Ethnic Group,12969.0,4890.0,North East,E12000001
2012-13,White,2075238.0,435183.0,North East,E12000001
2012-13,Asian/ Asian British,307746.0,165803.0,North West,E12000002
2012-13,Black/ African/ Caribbean/ Black British,66694.0,68241.0,North West,E12000002
2012-13,Mixed/ Multiple Ethnic Groups,43804.0,6768.0,North West,E12000002
2012-13,Not declared (from 2020/21 onwards),0.0,0.0,North West,E12000002
2012-13,Other Ethnic Group,30758.0,16545.0,North West,E12000002
2012-13,White,5317044.0,971886.0,North West,E12000002
2012-13,Asian/ Asian British,131395.0,193008.0,Yorkshire and The Humber,E12000003
2012-13,Black/ African/ Caribbean/ Black British,51163.0,21754.0,Yorkshire and The Humber,E12000003
2012-13,Mixed/ Multiple Ethnic Groups,45954.0,10344.0,Yorkshire and The Humber,E12000003
2012-13,Not declared (from 2020/21 onwards),0.0,0.0,Yorkshire and The Humber,E12000003
2012-13,Other Ethnic Group,29286.0,17944.0,Yorkshire and The Humber,E12000003
2012-13,White,3985560.0,763377.0,Yorkshire and The Humber,E12000003
