financial_year,age_of_the_youngest_child_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2020-21,0 to 4,0.0,0.0,North East,E12000001
2020-21,11 to 15,0.0,0.0,North East,E12000001
2020-21,16 to 19,0.0,0.0,North East,E12000001
2020-21,5 to 10,0.0,0.0,North East,E12000001
2020-21,No children in the family,0.0,0.0,North East,E12000001
2020-21,0 to 4,0.0,0.0,North West,E12000002
2020-21,11 to 15,0.0,0.0,North West,E12000002
2020-21,16 to 19,0.0,0.0,North West,E12000002
2020-21,5 to 10,0.0,0.0,North West,E12000002
2020-21,No children in the family,0.0,0.0,North West,E12000002
2020-21,0 to 4,0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,11 to 15,0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,16 to 19,0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,5 to 10,0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,No children in the family,0.0,0.0,Yorkshire and The Humber,E12000003
