financial_year,savings_and_investments_of_adults_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2020-21,"Less than £1,500",0.0,0.0,North East,E12000001
2020-21,No savings,0.0,0.0,North East,E12000001
2020-21,"£1,500 but less than £3,000",0.0,0.0,North East,E12000001
2020-21,"£10,000 but less than £16,000",0.0,0.0,North East,E12000001
2020-21,"£16,000 but less than £20,000",0.0,0.0,North East,E12000001
2020-21,"£20,000 or more",0.0,0.0,North East,E12000001
2020-21,"£3,000 but less than £8,000",0.0,0.0,North East,E12000001
2020-21,"£8,000 but less than £10,000",0.0,0.0,North East,E12000001
2020-21,"Less than £1,500",0.0,0.0,North West,E12000002
2020-21,No savings,0.0,0.0,North West,E12000002
2020-21,"£1,500 but less than £3,000",0.0,0.0,North West,E12000002
2020-21,"£10,000 but less than £16,000",0.0,0.0,North West,E12000002
2020-21,"£16,000 but less than £20,000",0.0,0.0,North West,E12000002
2020-21,"£20,000 or more",0.0,0.0,North West,E12000002
2020-21,"£3,000 but less than £8,000",0.0,0.0,North West,E12000002
2020-21,"£8,000 but less than £10,000",0.0,0.0,North West,E12000002
2020-21,"Less than £1,500",0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,No savings,0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,"£1,500 but less than £3,000",0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,"£10,000 but less than £16,000",0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,"£16,000 but less than £20,000",0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,"£20,000 or more",0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,"£3,000 but less than £8,000",0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,"£8,000 but less than £10,000",0.0,0.0,Yorkshire and The Humber,E12000003
