Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Ethnic Group of the Head of the Household (please calculate three-year averages - click on i for the correct method),not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2020-21,North East (E12000001),Asian/ Asian British,0.0,0.0
2020-21,North East (E12000001),Black/ African/ Caribbean/ Black British,0.0,0.0
2020-21,North East (E12000001),Mixed/ Multiple Ethnic Groups,0.0,0.0
2020-21,North East (E12000001),Not declared (from 2020/21 onwards),0.0,0.0
2020-21,North East (E12000001),Other Ethnic Group,0.0,0.0
2020-21,North East (E12000001),White,0.0,0.0
2020-21,North West (E12000002),Asian/ Asian British,0.0,0.0
2020-21,North West (E12000002),Black/ African/ Caribbean/ Black British,0.0,0.0
2020-21,North West (E12000002),Mixed/ Multiple Ethnic Groups,0.0,0.0
2020-21,North West (E12000002),Not declared (from 2020/21 onwards),0.0,0.0
2020-21,North West (E12000002),Other Ethnic Group,0.0,0.0
2020-21,North West (E12000002),White,0.0,0.0
2020-21,Yorkshire and The Humber (E12000003),Asian/ Asian British,0.0,0.0
2020-21,Yorkshire and The Humber (E12000003),Black/ African/ Caribbean/ Black British,0.0,0.0
2020-21,Yorkshire and The Humber (E12000003),Mixed/ Multiple Ethnic Groups,0.0,0.0
2020-21,Yorkshire and The Humber (E12000003),Not declared (from 2020/21 onwards),0.0,0.0
2020-21,Yorkshire and The Humber (E12000003),Other Ethnic Group,0.0,0.0
2020-21,Yorkshire and The Humber (E12000003),White,0.0,0.0
