financial_year,number_of_children_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2020-21,No children,0.0,0.0,North East,E12000001
2020-21,One child,0.0,0.0,North East,E12000001
2020-21,Three or more children,0.0,0.0,North East,E12000001
2020-21,Two children,0.0,0.0,North East,E12000001
2020-21,No children,0.0,0.0,North West,E12000002
2020-21,One child,0.0,0.0,North West,E12000002
2020-21,Three or more children,0.0,0.0,North West,E12000002
2020-21,Two children,0.0,0.0,North West,E12000002
2020-21,No children,0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,One child,0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,Three or more children,0.0,0.0,Yorkshire and The Humber,E12000003
2020-21,Two children,0.0,0.0,Yorkshire and The Humber,E12000003
