financial_year,ethnic_group_of_the_head_of_the_household_please_calculate_three_year_averages_click_on_i_for_the_correct_method_,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2018-19,Asian/ Asian British,86754.0,59955.0,North East,E12000001
2018-19,Black/ African/ Caribbean/ Black British,12743.0,16510.0,North East,E12000001
2018-19,Mixed/ Multiple Ethnic Groups,6289.0,4527.0,North East,E12000001
2018-19,Not declared (from 2020/21 onwards),0.0,0.0,North East,E12000001
2018-19,Other Ethnic Group,0.0,3198.0,North East,E12000001
2018-19,White,2000554.0,425049.0,North East,E12000001
2018-19,Asian/ Asian British,343428.0,198352.0,North West,E12000002
2018-19,Black/ African/ Caribbean/ Black British,73541.0,55439.0,North West,E12000002
2018-19,Mixed/ Multiple Ethnic Groups,142219.0,26744.0,North West,E12000002
2018-19,Not declared (from 2020/21 onwards),0.0,0.0,North West,E12000002
2018-19,Other Ethnic Group,45752.0,15873.0,North West,E12000002
2018-19,White,5255999.0,1035892.0,North West,E12000002
2018-19,Asian/ Asian British,329289.0,299401.0,Yorkshire and The Humber,E12000003
2018-19,Black/ African/ Caribbean/ Black British,59595.0,50488.0,Yorkshire and The Humber,E12000003
2018-19,Mixed/ Multiple Ethnic Groups,26815.0,0.0,Yorkshire and The Humber,E12000003
2018-19,Not declared (from 2020/21 onwards),0.0,0.0,Yorkshire and The Humber,E12000003
2018-19,Other Ethnic Group,48438.0,16438.0,Yorkshire and The Humber,E12000003
2018-19,White,3748928.0,824730.0,Yorkshire and The Humber,E12000003
