financial_year,number_of_children_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2018-19,No children,1312720.0,252130.0,North East,E12000001
2018-19,One child,307323.0,104351.0,North East,E12000001
2018-19,Three or more children,143599.0,82390.0,North East,E12000001
2018-19,Two children,342698.0,70368.0,North East,E12000001
2018-19,No children,3449983.0,660202.0,North West,E12000002
2018-19,One child,964205.0,189596.0,North West,E12000002
2018-19,Three or more children,494889.0,276236.0,North West,E12000002
2018-19,Two children,951862.0,206266.0,North West,E12000002
2018-19,No children,2495932.0,580875.0,Yorkshire and The Humber,E12000003
2018-19,One child,699211.0,135022.0,Yorkshire and The Humber,E12000003
2018-19,Three or more children,332505.0,257435.0,Yorkshire and The Humber,E12000003
2018-19,Two children,685417.0,217725.0,Yorkshire and The Humber,E12000003
