,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05001687,14078.0,,,,[]
E05001688,11025.0,,,,[]
E05001689,13054.0,,,,[]
E05001690,14671.0,,,,[]
E05001691,8047.0,,,,[]
E05001692,9643.0,,,,[]
E05001693,18125.0,,,,[]
E05001694,15369.0,,,,[]
E05001695,14547.0,,,,[]
E05001696,11528.0,,,,[]
E05001697,11157.0,,,,[]
E05001698,15359.0,,,,[]
E05001699,5277.0,,,,[]
E05001700,15283.0,,,,[]
E05001701,13769.0,,,,[]
E05001702,16490.0,,,,[]
E05001703,10579.0,,,,[]
E05001704,18026.0,,,,[]
E05001705,16211.0,,,,[]
E05001706,9803.0,,,,[]
E05001707,14927.0,,,,[]
E05001708,10569.0,,,,[]
E05001709,14412.0,,,,[]
E05001710,10336.0,,,,[]
E05001711,13727.0,,,,[]
E05001712,17189.0,,,,[]
E05001713,11481.0,,,,[]
E05001714,11467.0,,,,[]
E05001715,9346.0,,,,[]
E05001716,9668.0,,,,[]
E05001717,11904.0,,,,[]
E05001718,11385.0,,,,[]
E05001719,11728.0,,,,[]
E05001720,11793.0,,,,[]
E05001721,11433.0,,,,[]
E05001722,12508.0,,,,[]
E05001723,12757.0,,,,[]
E05001724,6789.0,,,,[]
E05001725,7848.0,,,,[]
E05001726,7700.0,,,,[]
E05001727,11557.0,,,,[]
E05001728,13911.0,,,,[]
E05001729,7729.0,,,,[]
E05001730,8349.0,,,,[]
E05001731,7220.0,,,,[]
E05001732,11767.0,,,,[]
E05001733,10640.0,,,,[]
E05001734,11576.0,,,,[]
E05001735,6538.0,,,,[]
E05001736,11924.0,,,,[]
E05001737,3822.0,,,,[]
E05001738,11246.0,,,,[]
E05001739,14691.0,,,,[]
E05001740,11485.0,,,,[]
E05001741,8246.0,,,,[]
E05001742,11173.0,,,,[]
E05001743,12838.0,,,,[]
E05001744,9593.0,,,,[]
E05008558,18075.0,,,,[]
E05008559,17715.0,,,,[]
E05008560,19503.0,,,,[]
E05008561,17202.0,,,,[]
E05008562,16407.0,,,,[]
E05010311,9151.0,,,,[]
E05010312,4160.0,,,,[]
E05010313,10097.0,,,,[]
E05010314,4129.0,,,,[]
E05010315,11568.0,,,,[]
E05010316,11026.0,,,,[]
E05010317,3914.0,,,,[]
E05010318,17978.0,,,,[]
E05010319,11769.0,,,,[]
E05010320,14558.0,,,,[]
E05010321,3828.0,,,,[]
E05010322,12781.0,,,,[]
E05010323,15147.0,,,,[]
E05010324,12610.0,,,,[]
E05010325,13431.0,,,,[]
E05010326,8426.0,,,,[]
E05010327,12195.0,,,,[]
E05010328,7857.0,,,,[]
E05010329,8267.0,,,,[]
E05010330,13952.0,,,,[]
E05010331,4168.0,,,,[]
E05010728,16697.0,,,,[]
E05010729,14440.0,,,,[]
E05010730,9738.0,,,,[]
E05010731,18367.0,,,,[]
E05010732,15161.0,,,,[]
E05010733,16495.0,,,,[]
E05010734,9954.0,,,,[]
E05010735,12093.0,,,,[]
E05010736,17109.0,,,,[]
E05010737,17584.0,,,,[]
E05010738,13788.0,,,,[]
E05010739,15600.0,,,,[]
E05010740,15244.0,,,,[]
E05010741,10815.0,,,,[]
E05010742,17775.0,,,,[]
E05010743,10824.0,,,,[]
E05010744,9930.0,,,,[]
E05010745,17921.0,,,,[]
E05010746,11282.0,,,,[]
E05010747,23566.0,,,,[]
E05010748,18402.0,,,,[]
E05010857,19732.0,,,,[]
E05010858,17896.0,,,,[]
E05010859,16997.0,,,,[]
E05010860,23742.0,,,,[]
E05010861,30668.0,,,,[]
E05010862,34077.0,,,,[]
E05010863,18089.0,,,,[]
E05010864,23323.0,,,,[]
E05010865,18667.0,,,,[]
E05010866,17715.0,,,,[]
E05010867,20398.0,,,,[]
E05010868,22347.0,,,,[]
E05010869,19808.0,,,,[]
E05010870,21226.0,,,,[]
E05010871,16840.0,,,,[]
E05010872,19926.0,,,,[]
E05010873,23915.0,,,,[]
E05010874,17136.0,,,,[]
E05010875,23920.0,,,,[]
E05010876,19817.0,,,,[]
E05010877,19073.0,,,,[]
E05010878,21688.0,,,,[]
E05010879,19861.0,,,,[]
E05010880,18590.0,,,,[]
E05010881,18496.0,,,,[]
E05010882,30256.0,,,,[]
E05010883,17288.0,,,,[]
E05010884,17723.0,,,,[]
E05011384,22699.0,,,,[]
E05011385,25313.0,,,,[]
E05011387,22613.0,,,,[]
E05011388,28766.0,,,,[]
E05011389,23248.0,,,,[]
E05011390,24471.0,,,,[]
E05011391,23327.0,,,,[]
E05011394,33645.0,,,,[]
E05011395,22697.0,,,,[]
E05011396,18182.0,,,,[]
E05011397,32459.0,,,,[]
E05011399,28727.0,,,,[]
E05011400,24901.0,,,,[]
E05011401,21222.0,,,,[]
E05011402,22223.0,,,,[]
E05011403,37849.0,,,,[]
E05011404,28811.0,,,,[]
E05011405,22471.0,,,,[]
E05011406,22482.0,,,,[]
E05011407,22574.0,,,,[]
E05011409,24747.0,,,,[]
E05011410,20250.0,,,,[]
E05011411,23259.0,,,,[]
E05011413,21542.0,,,,[]
E05011414,20567.0,,,,[]
E05011525,12968.0,,,,[]
E05011526,16261.0,,,,[]
E05011527,12183.0,,,,[]
E05011528,7729.0,,,,[]
E05011529,12490.0,,,,[]
E05011530,11415.0,,,,[]
E05011531,12317.0,,,,[]
E05011532,11076.0,,,,[]
E05011533,8802.0,,,,[]
E05011534,5860.0,,,,[]
E05011535,12294.0,,,,[]
E05011536,13378.0,,,,[]
E05011537,14747.0,,,,[]
E05011538,16545.0,,,,[]
E05011539,15508.0,,,,[]
E05011540,7959.0,,,,[]
E05011541,16134.0,,,,[]
E05011542,15265.0,,,,[]
E05011543,12696.0,,,,[]
E05011544,10849.0,,,,[]
E05011545,12650.0,,,,[]
E05011547,22447.0,,,,[]
E05011549,22064.0,,,,[]
E05012647,26957.0,,,,[]
E05012648,24329.0,,,,[]
E05012841,19605.0,,,,[]
E05012842,22944.0,,,,[]
E05012993,,,,,[]
E05012994,,,,,[]
E05012995,,,,,[]
E05012996,,,,,[]
E05012997,,,,,[]
E05012998,,,,,[]
E05012999,,,,,[]
E05013000,,,,,[]
E05013001,,,,,[]
E05013002,,,,,[]
E05013003,,,,,[]
E05013004,,,,,[]
E05013005,,,,,[]
E05013006,,,,,[]
E05013007,,,,,[]
E05013008,,,,,[]
E05013009,,,,,[]
E05013010,,,,,[]
E05013011,,,,,[]
E05013012,,,,,[]
E05013013,,,,,[]
E05013014,,,,,[]
E05013015,,,,,[]
E05013016,,,,,[]
E05013017,,,,,[]
E05013830,,,,,[]
E05013831,,,,,[]
E05014250,,,,,[]
E05014251,,,,,[]
E05014252,,,,,[]
E05014253,,,,,[]
E05014254,,,,,[]
E05014255,,,,,[]
E05014256,,,,,[]
E05014257,,,,,[]
E05014258,,,,,[]
E05014259,,,,,[]
E05014260,,,,,[]
E05014261,,,,,[]
E05014262,,,,,[]
E05014263,,,,,[]
E05014264,,,,,[]
E05014265,,,,,[]
E05014266,,,,,[]
E05014267,,,,,[]
E05014268,,,,,[]
E05014269,,,,,[]
E05014270,,,,,[]
E05014271,,,,,[]
E05014272,,,,,[]
E05014273,,,,,[]
E05014274,,,,,[]
E05014275,,,,,[]
E05014276,,,,,[]
E05014277,,,,,[]
E05014278,,,,,[]
E05014279,,,,,[]
E05014280,,,,,[]
E05014281,,,,,[]
E05014282,,,,,[]
E05014283,,,,,[]
E05014284,,,,,[]
E05014284,,,,,[]
E05014285,,,,,[]
E05014286,,,,,[]
E05014287,,,,,[]
E05014288,,,,,[]
E05014289,,,,,[]
E05014290,,,,,[]
E05014291,,,,,[]
E05014292,,,,,[]
E05014293,,,,,[]
E05014294,,,,,[]
E05014295,,,,,[]
E05014296,,,,,[]
E05014297,,,,,[]
E05014298,,,,,[]
E05014299,,,,,[]
E05014300,,,,,[]
E05014301,,,,,[]
E05014302,,,,,[]
E05014303,,,,,[]
E05014304,,,,,[]
E05014305,,,,,[]
E05014306,,,,,[]
E05014307,,,,,[]
E05014308,,,,,[]
E05014309,,,,,[]
E05014310,,,,,[]
E05014311,,,,,[]
E05014312,,,,,[]
E05014313,,,,,[]
E05014314,,,,,[]
E05014315,,,,,[]
E05014316,,,,,[]
E05014317,,,,,[]
E05014318,,,,,[]
E05014319,,,,,[]
E05014320,,,,,[]
E05014321,,,,,[]
E05014322,,,,,[]
E05014323,,,,,[]
E05014324,,,,,[]
E05014325,,,,,[]
E05014326,,,,,[]
E05014327,,,,,[]
E05014328,,,,,[]
E05014329,,,,,[]
E05014330,,,,,[]
E05014331,,,,,[]
E05014332,,,,,[]
E05014333,,,,,[]
E05014334,,,,,[]
E05014335,,,,,[]
E05014336,,,,,[]
E05014337,,,,,[]
E05014338,,,,,[]
E06000010,266463.0,17800.0,10336.0,19400.0,['E12000003']
E06000011,343143.0,9904.0,9802.0,9492.0,['E12000003']
E06000012,157197.0,8363.0,5502.0,7296.0,['E12000003']
E06000013,169940.0,7893.0,4982.0,5130.0,['E12000003']
E06000014,201672.0,4416.0,3633.0,4456.0,['E12000003']
E07000163,57090.0,1327.0,1279.0,1161.0,['E10000023']
E07000164,91037.0,1875.0,2007.0,2183.0,['E10000023']
E07000165,164105.0,2754.0,2917.0,4172.0,['E10000023']
E07000166,50358.0,1217.0,987.0,1085.0,['E10000023']
E07000167,54897.0,1409.0,1371.0,1637.0,['E10000023']
E07000168,108959.0,3976.0,4029.0,5633.0,['E10000023']
E07000169,92401.0,2421.0,1752.0,2646.0,['E10000023']
E08000016,244893.0,11432.0,7947.0,15187.0,['E47000002']
E08000017,308705.0,16660.0,9387.0,14884.0,['E47000002']
E08000018,266183.0,14148.0,8724.0,14202.0,['E47000002']
E08000019,554401.0,29665.0,16463.0,26299.0,['E47000002']
E08000032,546976.0,55038.0,14046.0,29217.0,['E47000003']
E08000033,206818.0,10990.0,5651.0,10865.0,['E47000003']
E08000034,433355.0,27839.0,11289.0,23099.0,['E47000003']
E08000035,809036.0,39995.0,20022.0,42596.0,['E47000003']
E08000036,353802.0,15001.0,10024.0,19608.0,['E47000003']
E10000023,618847.0,,,,['E12000003']
E11000003,,,,,['E12000003']
E11000006,,,,,['E12000003']
E12000003,5481431.0,,152150.0,260248.0,['E12999901']
E47000002,1374182.0,,,,['E11000003']
E47000003,2349987.0,,,,['E11000006']
