dimension_name,dimension
Quarter,str:field:BB:F_BB_QTR:DATE_NAME
National - Regional - LA - OAs,str:field:BB:V_F_BB_CASELOAD:COA_CODE
Westminster Parliamentary Constituencies,str:field:BB:V_F_BB_CASELOAD:PARLC_code
Scottish Parliamentary Constituencies,str:field:BB:V_F_BB_CASELOAD:SPARLC_code
Age (bands and single year),str:field:BB:V_F_BB_CASELOAD:CNAGE
Dependency Increase,str:field:BB:V_F_BB_CASELOAD:DEPFG
Duration of Claim,str:field:BB:V_F_BB_CASELOAD:CTDURTN
Gender,str:field:BB:V_F_BB_CASELOAD:SEX
Grouped Amount of Benefit,str:field:BB:V_F_BB_CASELOAD:AMTGP
Type of Bereavement Benefit,str:field:BB:V_F_BB_CASELOAD:CAT
