dimension_name,dimension
Month,str:field:PIP_MR_Clearances:F_PIP_DATE:DATE2
National - Regional - LA - OAs,str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:COA_2011
National - Regional - LA - Ward,str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:WARD_CODE
Westminster Parliamentary Constituency,str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:PCON
Age (bands and single year),str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:SINGLE_AGE_CLR
MR Decision,str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:MR_DECISION
Disability,str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:DISABILITY_CODE_CLR
Gender,str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:PIP_SEX_CLR
ICD Summary Code,str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:ICD_SUMMARY_CLR
Re-assessment Indicator,str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:PIP_CLAIM_REASSESSMENT_IND_CLR
State Pension Age,str:field:PIP_MR_Clearances:V_F_PIP_MR_CLEARANCES:SPA
