,date,geography_code,phase,fsm_eligible_percent
24,202021,E12000001,Pupil referral unit,56.6
25,202021,E12000001,Special school,49.6
26,202021,E12000001,State-funded nursery,4.4
27,202021,E12000001,State-funded primary,27.4
28,202021,E12000001,State-funded secondary,23.9
29,202021,E12000001,Total,26.3
30,202021,E12000002,Pupil referral unit,53.0
31,202021,E12000002,Special school,44.4
32,202021,E12000002,State-funded nursery,3.1
33,202021,E12000002,State-funded primary,23.0
34,202021,E12000002,State-funded secondary,21.3
35,202021,E12000002,Total,22.7
54,202021,E12000003,Pupil referral unit,56.2
55,202021,E12000003,Special school,42.9
56,202021,E12000003,State-funded nursery,4.5
57,202021,E12000003,State-funded primary,22.1
58,202021,E12000003,State-funded secondary,20.8
59,202021,E12000003,Total,21.9
909,201920,E12000003,Total,19.4
915,201920,E12000001,Total,23.5
916,201920,E12000002,Total,20.2
919,201920,E12000003,Non-maintained special school,34.6
922,201920,E12000001,Non-maintained special school,24.7
924,201920,E12000002,Non-maintained special school,19.4
928,201920,E12000003,Pupil referral unit,51.4
931,201920,E12000001,Pupil referral unit,51.4
933,201920,E12000002,Pupil referral unit,48.8
937,201920,E12000003,State-funded nursery,3.4
941,201920,E12000001,State-funded nursery,3.2
943,201920,E12000002,State-funded nursery,2.9
945,201920,E12000003,State-funded primary,19.7
949,201920,E12000001,State-funded primary,24.4
952,201920,E12000002,State-funded primary,20.4
954,201920,E12000003,State-funded secondary,18.3
959,201920,E12000001,State-funded secondary,21.2
961,201920,E12000002,State-funded secondary,18.8
963,201920,E12000003,State-funded special school,41.5
968,201920,E12000001,State-funded special school,48.9
970,201920,E12000002,State-funded special school,43.4
1867,201819,E12000003,Total,17.4
1868,201819,E12000001,Total,21.0
1869,201819,E12000002,Total,18.0
1874,201819,E12000001,Non-maintained special school,21.4
1877,201819,E12000003,Non-maintained special school,37.0
1878,201819,E12000002,Non-maintained special school,21.8
1881,201819,E12000002,Pupil referral unit,47.0
1886,201819,E12000003,Pupil referral unit,48.3
1887,201819,E12000001,Pupil referral unit,44.3
1890,201819,E12000002,State-funded nursery,3.3
1896,201819,E12000003,State-funded nursery,3.3
1897,201819,E12000001,State-funded nursery,3.6
1904,201819,E12000003,State-funded primary,17.7
1905,201819,E12000001,State-funded primary,22.0
1906,201819,E12000002,State-funded primary,18.2
1912,201819,E12000003,State-funded secondary,16.2
1913,201819,E12000001,State-funded secondary,18.7
1914,201819,E12000002,State-funded secondary,16.8
1921,201819,E12000003,State-funded special school,40.1
1922,201819,E12000001,State-funded special school,46.5
1923,201819,E12000002,State-funded special school,41.6
2823,201718,E12000003,Total,15.5
2825,201718,E12000001,Total,18.5
2826,201718,E12000002,Total,16.1
2833,201718,E12000001,Non-maintained special school,25.4
2834,201718,E12000002,Non-maintained special school,23.5
2838,201718,E12000003,Non-maintained special school,29.0
2842,201718,E12000001,Pupil referral unit,44.3
2843,201718,E12000002,Pupil referral unit,44.5
2847,201718,E12000003,Pupil referral unit,42.8
2852,201718,E12000001,State-funded nursery,4.2
2853,201718,E12000002,State-funded nursery,3.0
2856,201718,E12000003,State-funded nursery,2.4
2861,201718,E12000001,State-funded primary,19.1
2862,201718,E12000002,State-funded primary,16.3
2865,201718,E12000003,State-funded primary,15.7
2868,201718,E12000003,State-funded secondary,14.5
2871,201718,E12000001,State-funded secondary,16.5
2872,201718,E12000002,State-funded secondary,14.8
2877,201718,E12000003,State-funded special school,37.9
2879,201718,E12000001,State-funded special school,44.2
2880,201718,E12000002,State-funded special school,39.9
3786,201617,E12000001,Total,18.4
3787,201617,E12000002,Total,16.2
3789,201617,E12000003,Total,15.8
3792,201617,E12000003,Non-maintained special school,38.6
