geography_code,income_status,variable_name,marital_status,value,date,population,percent
E12000001,In low income (below threshold),population,Couple,332232.6666666667,1997-98 - 1999-00,2519712.0,13.0
E12000001,In low income (below threshold),population,Single,309665.3333333333,1997-98 - 1999-00,2519712.0,12.0
E12000001,Not in low income (at or above threshold),population,Couple,1274760.6666666667,1997-98 - 1999-00,2519712.0,51.0
E12000001,Not in low income (at or above threshold),population,Single,603053.3333333334,1997-98 - 1999-00,2519712.0,24.0
E12000002,In low income (below threshold),population,Couple,809057.3333333334,1997-98 - 1999-00,6678748.666666667,12.0
E12000002,In low income (below threshold),population,Single,686025.0,1997-98 - 1999-00,6678748.666666667,10.0
E12000002,Not in low income (at or above threshold),population,Couple,3565665.6666666665,1997-98 - 1999-00,6678748.666666667,53.0
E12000002,Not in low income (at or above threshold),population,Single,1618000.6666666667,1997-98 - 1999-00,6678748.666666667,24.0
E12000003,In low income (below threshold),population,Couple,655314.3333333334,1997-98 - 1999-00,4877066.666666667,13.0
E12000003,In low income (below threshold),population,Single,484242.0,1997-98 - 1999-00,4877066.666666667,10.0
E12000003,Not in low income (at or above threshold),population,Couple,2663822.3333333335,1997-98 - 1999-00,4877066.666666667,55.0
E12000003,Not in low income (at or above threshold),population,Single,1073688.0,1997-98 - 1999-00,4877066.666666667,22.0
E12000001,In low income (below threshold),population,Couple,342274.3333333333,1998-99 - 2000-01,2511034.333333333,14.0
E12000001,In low income (below threshold),population,Single,301751.3333333333,1998-99 - 2000-01,2511034.333333333,12.0
E12000001,Not in low income (at or above threshold),population,Couple,1248526.0,1998-99 - 2000-01,2511034.333333333,50.0
E12000001,Not in low income (at or above threshold),population,Single,618482.6666666666,1998-99 - 2000-01,2511034.333333333,25.0
E12000002,In low income (below threshold),population,Couple,788129.6666666666,1998-99 - 2000-01,6671327.666666667,12.0
E12000002,In low income (below threshold),population,Single,660552.3333333334,1998-99 - 2000-01,6671327.666666667,10.0
E12000002,Not in low income (at or above threshold),population,Couple,3579950.0,1998-99 - 2000-01,6671327.666666667,54.0
E12000002,Not in low income (at or above threshold),population,Single,1642695.6666666667,1998-99 - 2000-01,6671327.666666667,25.0
E12000003,In low income (below threshold),population,Couple,627533.6666666666,1998-99 - 2000-01,4876820.0,13.0
E12000003,In low income (below threshold),population,Single,478171.6666666667,1998-99 - 2000-01,4876820.0,10.0
E12000003,Not in low income (at or above threshold),population,Couple,2703227.3333333335,1998-99 - 2000-01,4876820.0,55.0
E12000003,Not in low income (at or above threshold),population,Single,1067887.3333333333,1998-99 - 2000-01,4876820.0,22.0
E12000001,In low income (below threshold),population,Couple,303938.3333333333,1999-00 - 2001-02,2503766.333333333,12.0
E12000001,In low income (below threshold),population,Single,297272.3333333333,1999-00 - 2001-02,2503766.333333333,12.0
E12000001,Not in low income (at or above threshold),population,Couple,1283855.0,1999-00 - 2001-02,2503766.333333333,51.0
E12000001,Not in low income (at or above threshold),population,Single,618700.6666666666,1999-00 - 2001-02,2503766.333333333,25.0
E12000002,In low income (below threshold),population,Couple,738075.3333333334,1999-00 - 2001-02,6663730.666666666,11.0
E12000002,In low income (below threshold),population,Single,645138.6666666666,1999-00 - 2001-02,6663730.666666666,10.0
E12000002,Not in low income (at or above threshold),population,Couple,3599051.6666666665,1999-00 - 2001-02,6663730.666666666,54.0
E12000002,Not in low income (at or above threshold),population,Single,1681465.0,1999-00 - 2001-02,6663730.666666666,25.0
E12000003,In low income (below threshold),population,Couple,589798.3333333334,1999-00 - 2001-02,4881802.333333334,12.0
E12000003,In low income (below threshold),population,Single,469970.3333333333,1999-00 - 2001-02,4881802.333333334,10.0
E12000003,Not in low income (at or above threshold),population,Couple,2732847.0,1999-00 - 2001-02,4881802.333333334,56.0
E12000003,Not in low income (at or above threshold),population,Single,1089186.6666666667,1999-00 - 2001-02,4881802.333333334,22.0
E12000001,In low income (below threshold),population,Couple,302307.3333333333,2000-01 - 2002-03,2498691.333333333,12.0
E12000001,In low income (below threshold),population,Single,275260.0,2000-01 - 2002-03,2498691.333333333,11.0
E12000001,Not in low income (at or above threshold),population,Couple,1314364.3333333333,2000-01 - 2002-03,2498691.333333333,53.0
E12000001,Not in low income (at or above threshold),population,Single,606759.6666666666,2000-01 - 2002-03,2498691.333333333,24.0
E12000002,In low income (below threshold),population,Couple,723016.0,2000-01 - 2002-03,6663364.0,11.0
E12000002,In low income (below threshold),population,Single,615472.6666666666,2000-01 - 2002-03,6663364.0,9.0
E12000002,Not in low income (at or above threshold),population,Couple,3612634.6666666665,2000-01 - 2002-03,6663364.0,54.0
E12000002,Not in low income (at or above threshold),population,Single,1712240.6666666667,2000-01 - 2002-03,6663364.0,26.0
E12000003,In low income (below threshold),population,Couple,556451.6666666666,2000-01 - 2002-03,4893259.666666667,11.0
E12000003,In low income (below threshold),population,Single,446764.0,2000-01 - 2002-03,4893259.666666667,9.0
E12000003,Not in low income (at or above threshold),population,Couple,2772009.3333333335,2000-01 - 2002-03,4893259.666666667,57.0
E12000003,Not in low income (at or above threshold),population,Single,1118034.6666666667,2000-01 - 2002-03,4893259.666666667,23.0
E12000001,In low income (below threshold),population,Couple,282219.6666666667,2001-02 - 2003-04,2496043.666666667,11.0
E12000001,In low income (below threshold),population,Single,262834.0,2001-02 - 2003-04,2496043.666666667,11.0
E12000001,Not in low income (at or above threshold),population,Couple,1331466.6666666667,2001-02 - 2003-04,2496043.666666667,53.0
E12000001,Not in low income (at or above threshold),population,Single,619523.3333333334,2001-02 - 2003-04,2496043.666666667,25.0
E12000002,In low income (below threshold),population,Couple,709804.6666666666,2001-02 - 2003-04,6672609.0,11.0
E12000002,In low income (below threshold),population,Single,606888.6666666666,2001-02 - 2003-04,6672609.0,9.0
E12000002,Not in low income (at or above threshold),population,Couple,3641641.3333333335,2001-02 - 2003-04,6672609.0,55.0
E12000002,Not in low income (at or above threshold),population,Single,1714274.3333333333,2001-02 - 2003-04,6672609.0,26.0
E12000003,In low income (below threshold),population,Couple,567953.6666666666,2001-02 - 2003-04,4912921.333333333,12.0
E12000003,In low income (below threshold),population,Single,414917.0,2001-02 - 2003-04,4912921.333333333,8.0
