dimension_name,dimension
Month,str:field:IIDB_Meso:F_MESO_DATE:DATE_NAME
National - Regional - LA,str:field:IIDB_Meso:V_F_IIDB_MESO:OA11
Westminster Parliamentary Constituencies,str:field:IIDB_Meso:V_F_IIDB_MESO:PARLC_CODE
Scottish Parliamentary Constituencies,str:field:IIDB_Meso:V_F_IIDB_MESO:SPC_CODE
Age (bands and single year),str:field:IIDB_Meso:V_F_IIDB_MESO:AGE
Working or Pension age,str:field:IIDB_Meso:V_F_IIDB_MESO:PENSION_AGE
Gender (of sufferer),str:field:IIDB_Meso:V_F_IIDB_MESO:CCSEX
Scheme,str:field:IIDB_Meso:V_F_IIDB_MESO:CCSCHEME
Medical condition,str:field:IIDB_Meso:V_F_IIDB_MESO:CCDISEASE
Type of claimant,str:field:IIDB_Meso:V_F_IIDB_MESO:CCCLAIMANT
Amount of compensation paid (bands),str:field:IIDB_Meso:V_F_IIDB_MESO:CCAMOUNT
