dimension_name,dimension
Month,str:field:PIP_MR_Registrations:F_PIP_DATE:DATE2
National - Regional - LA - OAs,str:field:PIP_MR_Registrations:V_F_PIP_MR_REGISTRATIONS:COA_2011
National - Regional - LA - Ward,str:field:PIP_MR_Registrations:V_F_PIP_MR_REGISTRATIONS:WARD_CODE
Westminster Parliamentary Constituency,str:field:PIP_MR_Registrations:V_F_PIP_MR_REGISTRATIONS:PCON
Age (bands and single year),str:field:PIP_MR_Registrations:V_F_PIP_MR_REGISTRATIONS:SINGLE_AGE_REG
Disability,str:field:PIP_MR_Registrations:V_F_PIP_MR_REGISTRATIONS:DISABILITY_CODE_REG
Gender,str:field:PIP_MR_Registrations:V_F_PIP_MR_REGISTRATIONS:PIP_SEX_REG
ICD Summary Code,str:field:PIP_MR_Registrations:V_F_PIP_MR_REGISTRATIONS:ICD_SUMMARY_REG
Re-assessment Indicator,str:field:PIP_MR_Registrations:V_F_PIP_MR_REGISTRATIONS:PIP_CLAIM_REASSESSMENT_IND_REG
State Pension Age,str:field:PIP_MR_Registrations:V_F_PIP_MR_REGISTRATIONS:SPA
