Measures,Type of Individual by Age Category,Financial Year,60 per cent of median net household income (BHC) in latest prices,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method) (3ya),Count,RSE,Annotations
Weighted Sum of Income Distribution - Whole Population,Child,"2021-22 (covid2122, div)",In low income (below threshold),Yorkshire and The Humber (E12000003),246573,0.0,
Weighted Sum of Income Distribution - Whole Population,Child,"2021-22 (covid2122, div)",In low income (below threshold),North West (E12000002),427278,0.0,
Weighted Sum of Income Distribution - Whole Population,Child,"2021-22 (covid2122, div)",In low income (below threshold),North East (E12000001),90285,0.0,
Weighted Sum of Income Distribution - Whole Population,Child,"2021-22 (covid2122, div)",In low income (below threshold),Total,764136,0.0,
Weighted Sum of Income Distribution - Whole Population,Working-Age,"2021-22 (covid2122, div)",In low income (below threshold),Yorkshire and The Humber (E12000003),589198,0.0,
Weighted Sum of Income Distribution - Whole Population,Working-Age,"2021-22 (covid2122, div)",In low income (below threshold),North West (E12000002),705150,0.0,
Weighted Sum of Income Distribution - Whole Population,Working-Age,"2021-22 (covid2122, div)",In low income (below threshold),North East (E12000001),245979,0.0,
Weighted Sum of Income Distribution - Whole Population,Working-Age,"2021-22 (covid2122, div)",In low income (below threshold),Total,1540327,0.0,
Weighted Sum of Income Distribution - Whole Population,Pensioner,"2021-22 (covid2122, div)",In low income (below threshold),Yorkshire and The Humber (E12000003),188741,0.0,
Weighted Sum of Income Distribution - Whole Population,Pensioner,"2021-22 (covid2122, div)",In low income (below threshold),North West (E12000002),233934,0.0,
Weighted Sum of Income Distribution - Whole Population,Pensioner,"2021-22 (covid2122, div)",In low income (below threshold),North East (E12000001),87398,0.0,
Weighted Sum of Income Distribution - Whole Population,Pensioner,"2021-22 (covid2122, div)",In low income (below threshold),Total,510073,0.0,
