dimension_name,dimension
Month,str:field:Benefit_Cap_Monthly_2011:F_BC_DATE:MONTH
National - Regional - LA - OAs,['str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:ADMIN_LA_CODE']
National - Regional - LA - Ward,['Local Authority']
Westminster Parliamentary Constituencies,str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:COA_2011
Age,str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:WARD_CODE
Gender (single claimants),str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:PARLC_CODE
Family Type,str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:AGE_YEAR
Number of Children,str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:SINGLE_GEN
Private or Social Rented,str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:FAMILY_PUB
Detailed Housing Type,str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:NO_CHILDREN
Amount of Benefit Capped (in bands),str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:TENURE_PUB
Housing Benefit Amount (in bands),str:field:Benefit_Cap_Monthly_2011:V_F_BC_MONTHLY_FULL_2011:SECTOR_PUB
