dimension_name,dimension
Quarter,str:field:WB_New:F_WB_QTR_New:DATE_NAME
National - Regional - LA - OAs,str:field:WB_New:V_F_WB_CASELOAD_New:COA_CODE
National - Regional - LA - Ward,str:field:WB_New:V_F_WB_CASELOAD_New:WARD_CODE
Westminster Parliamentary Constituencies,str:field:WB_New:V_F_WB_CASELOAD_New:PARLC_CODE
Scottish Parliamentary Constituencies,str:field:WB_New:V_F_WB_CASELOAD_New:SPC_CODE
Age (bands and single year),str:field:WB_New:V_F_WB_CASELOAD_New:CNAGE
Dependency Increase,str:field:WB_New:V_F_WB_CASELOAD_New:DEPFG
Duration of Claim,str:field:WB_New:V_F_WB_CASELOAD_New:CTDURTN
Grouped Amount of Benefit,str:field:WB_New:V_F_WB_CASELOAD_New:AMTGP
Type of Widow's Benefit,str:field:WB_New:V_F_WB_CASELOAD_New:CAT
