dimension_name,dimension
Month,str:field:PIP_Monthly:F_PIP_DATE:DATE2
National - Regional - LA - OAs,str:field:PIP_Monthly:V_F_PIP_MONTHLY:COA_2011
National - Regional - LA - Ward,str:field:PIP_Monthly:V_F_PIP_MONTHLY:WARD_CODE
Westminster Parliamentary Constituency,str:field:PIP_Monthly:V_F_PIP_MONTHLY:pcon
Age (bands and single year),str:field:PIP_Monthly:V_F_PIP_MONTHLY:SINGLE_AGE
Daily Living Award Status,str:field:PIP_Monthly:V_F_PIP_MONTHLY:DL_AWARD_TYPE
Disability,str:field:PIP_Monthly:V_F_PIP_MONTHLY:DISABILITY_CODE
Duration of Claim,str:field:PIP_Monthly:V_F_PIP_MONTHLY:DURATIONS
Gender,str:field:PIP_Monthly:V_F_PIP_MONTHLY:SEX
ICD Summary Code,str:field:PIP_Monthly:V_F_PIP_MONTHLY:ICD_SUMMARY_CODE
Mobility Award Status,str:field:PIP_Monthly:V_F_PIP_MONTHLY:MOB_AWARD_TYPE
Re-assessment Indicator,str:field:PIP_Monthly:V_F_PIP_MONTHLY:REASSESSMENT_IND
End of Life Rules Indicator,str:field:PIP_Monthly:V_F_PIP_MONTHLY:TERMINALLY_ILL_RULES_IND
State Pension Age,str:field:PIP_Monthly:V_F_PIP_MONTHLY:SPA
