dimension_name,dimension
Month,str:field:WP_Referrals:F_WP_DATE:DATE_NAME
National - Regional - LA - OAs,str:field:WP_Referrals:V_F_WP_REFERRALS:COA_CODE
Westminster Parliamentary Constituency,str:field:WP_Referrals:V_F_WP_REFERRALS:PCON
Age Band,str:field:WP_Referrals:V_F_WP_REFERRALS:AGE_CODE
Contract Package Area and Contract,str:field:WP_Referrals:V_F_WP_REFERRALS:CONTRACT_CODE
Disability Indicator,str:field:WP_Referrals:V_F_WP_REFERRALS:DISABILITY_CODE
Ethnicity (summary and detailed),str:field:WP_Referrals:V_F_WP_REFERRALS:ETHNICITY_CODE
Gender,str:field:WP_Referrals:V_F_WP_REFERRALS:GENDER_CODE
Mandatory or Voluntary Indicator,str:field:WP_Referrals:V_F_WP_REFERRALS:MANDVOL
Payment Group,str:field:WP_Referrals:V_F_WP_REFERRALS:OTPTYPE_CODE
