geography_code,date,phase_type_grouping,fsm,value,variable_name,count
E12000001,202223,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),34.6,percent_of_pupils,56
E12000001,202223,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),63.7,percent_of_pupils,56
E12000001,202223,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),3.1,percent_of_pupils,56
E12000001,202223,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),30.2,percent_of_pupils,56
E12000001,202223,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),27.6,percent_of_pupils,56
E12000001,202223,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),50.2,percent_of_pupils,56
E12000001,202223,Total,known to be eligible for free school meals (used for FSM in Performance Tables),14.8,percent_of_pupils,56
E12000001,202122,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),31.2,percent_of_pupils,56
E12000001,202122,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),63.1,percent_of_pupils,56
E12000001,202122,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),3.0,percent_of_pupils,56
E12000001,202122,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),29.5,percent_of_pupils,56
E12000001,202122,Total,known to be eligible for free school meals (used for FSM in Performance Tables),14.1,percent_of_pupils,56
E12000001,202122,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),25.6,percent_of_pupils,56
E12000001,202122,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),48.7,percent_of_pupils,56
E12000001,202021,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),23.4,percent_of_pupils,56
E12000001,202021,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),47.4,percent_of_pupils,56
E12000001,202021,Total,known to be eligible for free school meals (used for FSM in Performance Tables),13.3,percent_of_pupils,56
E12000001,202021,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),20.3,percent_of_pupils,56
E12000001,202021,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),62.2,percent_of_pupils,56
E12000001,202021,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),3.8,percent_of_pupils,56
E12000001,202021,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),28.3,percent_of_pupils,56
E12000001,201920,Total,known to be eligible for free school meals (used for FSM in Performance Tables),11.4,percent_of_pupils,56
E12000001,201920,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),20.1,percent_of_pupils,56
E12000001,201920,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),50.9,percent_of_pupils,56
E12000001,201920,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),3.0,percent_of_pupils,56
E12000001,201920,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),23.9,percent_of_pupils,56
E12000001,201920,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),20.3,percent_of_pupils,56
E12000001,201920,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),44.6,percent_of_pupils,56
E12000001,201819,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),41.9,percent_of_pupils,56
E12000001,201819,Total,known to be eligible for free school meals (used for FSM in Performance Tables),10.2,percent_of_pupils,56
E12000001,201819,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),44.2,percent_of_pupils,56
E12000001,201819,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),3.5,percent_of_pupils,56
E12000001,201819,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),21.5,percent_of_pupils,56
E12000001,201819,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),17.9,percent_of_pupils,56
E12000001,201819,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),18.6,percent_of_pupils,56
E12000001,201718,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),21.9,percent_of_pupils,56
E12000001,201718,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),44.3,percent_of_pupils,56
E12000001,201718,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),3.8,percent_of_pupils,56
E12000001,201718,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),18.6,percent_of_pupils,56
E12000001,201718,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),15.8,percent_of_pupils,56
E12000001,201718,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),39.6,percent_of_pupils,56
E12000001,201718,Total,known to be eligible for free school meals (used for FSM in Performance Tables),8.9,percent_of_pupils,56
E12000001,201617,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),13.9,percent_of_pupils,56
E12000001,201617,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),43.7,percent_of_pupils,56
E12000001,201617,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),3.4,percent_of_pupils,56
E12000001,201617,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),18.4,percent_of_pupils,56
E12000001,201617,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),15.8,percent_of_pupils,56
E12000001,201617,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),37.5,percent_of_pupils,56
E12000001,201617,Total,known to be eligible for free school meals (used for FSM in Performance Tables),8.8,percent_of_pupils,56
E12000001,201516,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),36.7,percent_of_pupils,56
E12000001,201516,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),46.3,percent_of_pupils,56
E12000001,201516,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),2.6,percent_of_pupils,56
E12000001,201516,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),18.6,percent_of_pupils,56
E12000001,201516,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),15.6,percent_of_pupils,56
E12000001,201516,Total,known to be eligible for free school meals (used for FSM in Performance Tables),8.8,percent_of_pupils,56
E12000001,201516,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),11.0,percent_of_pupils,56
E12000002,202223,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),23.8,percent_of_pupils,56
E12000002,202223,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),58.0,percent_of_pupils,56
E12000002,202223,Total,known to be eligible for free school meals (used for FSM in Performance Tables),13.1,percent_of_pupils,56
E12000002,202223,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.7,percent_of_pupils,56
E12000002,202223,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),26.5,percent_of_pupils,56
E12000002,202223,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),25.1,percent_of_pupils,56
E12000002,202223,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),43.2,percent_of_pupils,56
