geography_code,ahc_income_status,Savings and Investments of Adults in the Family of the Individual,bhc_income_status,variable_name,value,date,population,percent
E12000001,In low income (below threshold),"Less than £1,500",In low income (below threshold),population,85488.66666666667,1994-95 - 1996-97,494483.0,17.0
E12000001,In low income (below threshold),"Less than £1,500",Not in low income (at or above threshold),population,32445.666666666668,1994-95 - 1996-97,494483.0,7.0
E12000001,In low income (below threshold),No savings,In low income (below threshold),population,386602.3333333333,1994-95 - 1996-97,1126591.3333333335,34.0
E12000001,In low income (below threshold),No savings,Not in low income (at or above threshold),population,117335.0,1994-95 - 1996-97,1126591.3333333335,10.0
E12000001,In low income (below threshold),"£1,500 but less than £3,000",In low income (below threshold),population,25505.666666666668,1994-95 - 1996-97,212724.66666666666,12.0
E12000001,In low income (below threshold),"£1,500 but less than £3,000",Not in low income (at or above threshold),population,9645.0,1994-95 - 1996-97,212724.66666666666,5.0
E12000001,In low income (below threshold),"£10,000 but less than £16,000",In low income (below threshold),population,13343.0,1994-95 - 1996-97,114410.66666666666,12.0
E12000001,In low income (below threshold),"£10,000 but less than £16,000",Not in low income (at or above threshold),population,1857.0,1994-95 - 1996-97,114410.66666666666,2.0
E12000001,In low income (below threshold),"£16,000 but less than £20,000",In low income (below threshold),population,6357.0,1994-95 - 1996-97,49478.0,13.0
E12000001,In low income (below threshold),"£16,000 but less than £20,000",Not in low income (at or above threshold),population,1650.0,1994-95 - 1996-97,49478.0,3.0
E12000001,In low income (below threshold),"£20,000 or more",In low income (below threshold),population,13247.333333333334,1994-95 - 1996-97,208755.0,6.0
E12000001,In low income (below threshold),"£20,000 or more",Not in low income (at or above threshold),population,624.3333333333334,1994-95 - 1996-97,208755.0,0.0
E12000001,In low income (below threshold),"£3,000 but less than £8,000",In low income (below threshold),population,37454.333333333336,1994-95 - 1996-97,273370.0,14.0
E12000001,In low income (below threshold),"£3,000 but less than £8,000",Not in low income (at or above threshold),population,8039.0,1994-95 - 1996-97,273370.0,3.0
E12000001,In low income (below threshold),"£8,000 but less than £10,000",In low income (below threshold),population,2949.3333333333335,1994-95 - 1996-97,63781.333333333336,5.0
E12000001,In low income (below threshold),"£8,000 but less than £10,000",Not in low income (at or above threshold),population,1178.3333333333333,1994-95 - 1996-97,63781.333333333336,2.0
E12000002,In low income (below threshold),"Less than £1,500",In low income (below threshold),population,194534.66666666666,1994-95 - 1996-97,1315563.0,15.0
E12000002,In low income (below threshold),"Less than £1,500",Not in low income (at or above threshold),population,82712.66666666667,1994-95 - 1996-97,1315563.0,6.0
E12000002,In low income (below threshold),No savings,In low income (below threshold),population,857599.3333333334,1994-95 - 1996-97,2770681.3333333335,31.0
E12000002,In low income (below threshold),No savings,Not in low income (at or above threshold),population,304320.0,1994-95 - 1996-97,2770681.3333333335,11.0
E12000002,In low income (below threshold),"£1,500 but less than £3,000",In low income (below threshold),population,50055.333333333336,1994-95 - 1996-97,538077.0,9.0
E12000002,In low income (below threshold),"£1,500 but less than £3,000",Not in low income (at or above threshold),population,22712.333333333332,1994-95 - 1996-97,538077.0,4.0
