Financial Year,geography_name,geography_code,Age of the Youngest Child in the Family of the Individual,variable_name,value
1994-95,North East,E12000001,0 to 4,Not in low income,336346.0
1994-95,North East,E12000001,11 to 15,Not in low income,183173.0
1994-95,North East,E12000001,16 to 19,Not in low income,49989.0
1994-95,North East,E12000001,5 to 10,Not in low income,264614.0
1994-95,North East,E12000001,No children in the family,Not in low income,1137063.0
1994-95,North West,E12000002,0 to 4,Not in low income,858680.0
1994-95,North West,E12000002,11 to 15,Not in low income,550717.0
1994-95,North West,E12000002,16 to 19,Not in low income,137159.0
1994-95,North West,E12000002,5 to 10,Not in low income,768967.0
1994-95,North West,E12000002,No children in the family,Not in low income,2973221.0
1994-95,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,660099.0
1994-95,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,390398.0
1994-95,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,77423.0
1994-95,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,481063.0
1994-95,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2134050.0
1995-96,North East,E12000001,0 to 4,Not in low income,317202.0
1995-96,North East,E12000001,11 to 15,Not in low income,225316.0
1995-96,North East,E12000001,16 to 19,Not in low income,50910.0
1995-96,North East,E12000001,5 to 10,Not in low income,221979.0
1995-96,North East,E12000001,No children in the family,Not in low income,1091057.0
1995-96,North West,E12000002,0 to 4,Not in low income,1005456.0
1995-96,North West,E12000002,11 to 15,Not in low income,534967.0
1995-96,North West,E12000002,16 to 19,Not in low income,106952.0
1995-96,North West,E12000002,5 to 10,Not in low income,737125.0
1995-96,North West,E12000002,No children in the family,Not in low income,3068957.0
1995-96,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,667768.0
1995-96,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,403846.0
1995-96,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,107325.0
1995-96,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,523369.0
1995-96,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2112252.0
1996-97,North East,E12000001,0 to 4,Not in low income,305386.0
1996-97,North East,E12000001,11 to 15,Not in low income,175129.0
1996-97,North East,E12000001,16 to 19,Not in low income,51289.0
1996-97,North East,E12000001,5 to 10,Not in low income,301823.0
1996-97,North East,E12000001,No children in the family,Not in low income,1093767.0
1996-97,North West,E12000002,0 to 4,Not in low income,908566.0
1996-97,North West,E12000002,11 to 15,Not in low income,442572.0
1996-97,North West,E12000002,16 to 19,Not in low income,181909.0
1996-97,North West,E12000002,5 to 10,Not in low income,741348.0
1996-97,North West,E12000002,No children in the family,Not in low income,2973165.0
1996-97,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,632425.0
1996-97,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,405726.0
1996-97,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,102196.0
1996-97,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,494389.0
1996-97,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2142068.0
1997-98,North East,E12000001,0 to 4,Not in low income,264966.0
1997-98,North East,E12000001,11 to 15,Not in low income,217591.0
1997-98,North East,E12000001,16 to 19,Not in low income,39511.0
1997-98,North East,E12000001,5 to 10,Not in low income,282070.0
1997-98,North East,E12000001,No children in the family,Not in low income,1115103.0
1997-98,North West,E12000002,0 to 4,Not in low income,841294.0
1997-98,North West,E12000002,11 to 15,Not in low income,472623.0
1997-98,North West,E12000002,16 to 19,Not in low income,127902.0
1997-98,North West,E12000002,5 to 10,Not in low income,765908.0
1997-98,North West,E12000002,No children in the family,Not in low income,2998862.0
1997-98,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,622322.0
1997-98,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,424905.0
1997-98,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,105059.0
1997-98,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,479876.0
1997-98,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2133348.0
1998-99,North East,E12000001,0 to 4,Not in low income,235536.0
1998-99,North East,E12000001,11 to 15,Not in low income,206185.0
1998-99,North East,E12000001,16 to 19,Not in low income,65664.0
1998-99,North East,E12000001,5 to 10,Not in low income,243652.0
1998-99,North East,E12000001,No children in the family,Not in low income,1108013.0
1998-99,North West,E12000002,0 to 4,Not in low income,781142.0
1998-99,North West,E12000002,11 to 15,Not in low income,490978.0
1998-99,North West,E12000002,16 to 19,Not in low income,152318.0
1998-99,North West,E12000002,5 to 10,Not in low income,666298.0
1998-99,North West,E12000002,No children in the family,Not in low income,2997814.0
1998-99,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,578869.0
1998-99,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,392151.0
1998-99,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,130635.0
1998-99,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,521248.0
1998-99,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2067236.0
1999-00,North East,E12000001,0 to 4,Not in low income,260281.0
1999-00,North East,E12000001,11 to 15,Not in low income,178282.0
1999-00,North East,E12000001,16 to 19,Not in low income,50350.0
1999-00,North East,E12000001,5 to 10,Not in low income,311196.0
1999-00,North East,E12000001,No children in the family,Not in low income,1055042.0
1999-00,North West,E12000002,0 to 4,Not in low income,852134.0
1999-00,North West,E12000002,11 to 15,Not in low income,525361.0
1999-00,North West,E12000002,16 to 19,Not in low income,144685.0
1999-00,North West,E12000002,5 to 10,Not in low income,735564.0
1999-00,North West,E12000002,No children in the family,Not in low income,2998116.0
1999-00,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,562176.0
1999-00,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,393099.0
1999-00,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,103647.0
1999-00,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,506719.0
1999-00,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2191241.0
2000-01,North East,E12000001,0 to 4,Not in low income,318939.0
2000-01,North East,E12000001,11 to 15,Not in low income,170079.0
2000-01,North East,E12000001,16 to 19,Not in low income,60116.0
2000-01,North East,E12000001,5 to 10,Not in low income,234057.0
2000-01,North East,E12000001,No children in the family,Not in low income,1103634.0
2000-01,North West,E12000002,0 to 4,Not in low income,840991.0
2000-01,North West,E12000002,11 to 15,Not in low income,504730.0
