geography_code,ahc_income_status,Ethnic Group of the Head of the Household,bhc_income_status,variable_name,value,date,population,percent
E12000001,In low income (below threshold),Asian/ Asian British,In low income (below threshold),population,19118.333333333332,1994-95 - 1996-97,29729.0,64.0
E12000001,In low income (below threshold),Asian/ Asian British,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,29729.0,0.0
E12000001,In low income (below threshold),Black/ African/ Caribbean/ Black British,In low income (below threshold),population,981.3333333333334,1994-95 - 1996-97,3494.0,28.0
E12000001,In low income (below threshold),Black/ African/ Caribbean/ Black British,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,3494.0,0.0
E12000001,In low income (below threshold),Mixed/ Multiple Ethnic Groups,In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000001,In low income (below threshold),Mixed/ Multiple Ethnic Groups,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000001,In low income (below threshold),Not declared (from 2020/21 onwards),In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000001,In low income (below threshold),Not declared (from 2020/21 onwards),Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000001,In low income (below threshold),Other Ethnic Group,In low income (below threshold),population,2933.3333333333335,1994-95 - 1996-97,7025.0,42.0
E12000001,In low income (below threshold),Other Ethnic Group,Not in low income (at or above threshold),population,990.0,1994-95 - 1996-97,7025.0,14.0
E12000001,In low income (below threshold),White,In low income (below threshold),population,547914.6666666666,1994-95 - 1996-97,2503346.0,22.0
E12000001,In low income (below threshold),White,Not in low income (at or above threshold),population,171784.33333333334,1994-95 - 1996-97,2503346.0,7.0
E12000002,In low income (below threshold),Asian/ Asian British,In low income (below threshold),population,114996.66666666667,1994-95 - 1996-97,204306.0,56.0
E12000002,In low income (below threshold),Asian/ Asian British,Not in low income (at or above threshold),population,9347.333333333334,1994-95 - 1996-97,204306.0,5.0
E12000002,In low income (below threshold),Black/ African/ Caribbean/ Black British,In low income (below threshold),population,9123.333333333334,1994-95 - 1996-97,31929.0,29.0
E12000002,In low income (below threshold),Black/ African/ Caribbean/ Black British,Not in low income (at or above threshold),population,4752.0,1994-95 - 1996-97,31929.0,15.0
E12000002,In low income (below threshold),Mixed/ Multiple Ethnic Groups,In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000002,In low income (below threshold),Mixed/ Multiple Ethnic Groups,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000002,In low income (below threshold),Not declared (from 2020/21 onwards),In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000002,In low income (below threshold),Not declared (from 2020/21 onwards),Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000002,In low income (below threshold),Other Ethnic Group,In low income (below threshold),population,11257.666666666666,1994-95 - 1996-97,28896.666666666664,39.0
E12000002,In low income (below threshold),Other Ethnic Group,Not in low income (at or above threshold),population,6160.333333333333,1994-95 - 1996-97,28896.666666666664,21.0
E12000002,In low income (below threshold),White,In low income (below threshold),population,1150002.0,1994-95 - 1996-97,6453900.666666667,18.0
E12000002,In low income (below threshold),White,Not in low income (at or above threshold),population,430166.6666666667,1994-95 - 1996-97,6453900.666666667,7.0
E12000003,In low income (below threshold),Asian/ Asian British,In low income (below threshold),population,107245.66666666667,1994-95 - 1996-97,181141.0,59.0
E12000003,In low income (below threshold),Asian/ Asian British,Not in low income (at or above threshold),population,11087.333333333334,1994-95 - 1996-97,181141.0,6.0
E12000003,In low income (below threshold),Black/ African/ Caribbean/ Black British,In low income (below threshold),population,6163.666666666667,1994-95 - 1996-97,25018.333333333336,25.0
E12000003,In low income (below threshold),Black/ African/ Caribbean/ Black British,Not in low income (at or above threshold),population,291.6666666666667,1994-95 - 1996-97,25018.333333333336,1.0
E12000003,In low income (below threshold),Mixed/ Multiple Ethnic Groups,In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000003,In low income (below threshold),Mixed/ Multiple Ethnic Groups,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
