geography_code,ahc_income_status,Age of the Youngest Child in the Family of the Individual,bhc_income_status,variable_name,value,date,population,percent
E12000001,In low income (below threshold),0 to 4,In low income (below threshold),population,168673.66666666666,1994-95 - 1996-97,492679.3333333333,34.0
E12000001,In low income (below threshold),0 to 4,Not in low income (at or above threshold),population,28027.666666666668,1994-95 - 1996-97,492679.3333333333,6.0
E12000001,In low income (below threshold),11 to 15,In low income (below threshold),population,59538.666666666664,1994-95 - 1996-97,254078.0,23.0
E12000001,In low income (below threshold),11 to 15,Not in low income (at or above threshold),population,14951.666666666666,1994-95 - 1996-97,254078.0,6.0
E12000001,In low income (below threshold),16 to 19,In low income (below threshold),population,7457.666666666667,1994-95 - 1996-97,58187.0,13.0
E12000001,In low income (below threshold),16 to 19,Not in low income (at or above threshold),population,1022.0,1994-95 - 1996-97,58187.0,2.0
E12000001,In low income (below threshold),5 to 10,In low income (below threshold),population,86156.66666666667,1994-95 - 1996-97,350170.0,25.0
E12000001,In low income (below threshold),5 to 10,Not in low income (at or above threshold),population,17198.666666666668,1994-95 - 1996-97,350170.0,5.0
E12000001,In low income (below threshold),No children in the family,In low income (below threshold),population,249121.0,1994-95 - 1996-97,1388479.6666666667,18.0
E12000001,In low income (below threshold),No children in the family,Not in low income (at or above threshold),population,111574.33333333333,1994-95 - 1996-97,1388479.6666666667,8.0
E12000002,In low income (below threshold),0 to 4,In low income (below threshold),population,408177.6666666667,1994-95 - 1996-97,1342532.3333333335,30.0
E12000002,In low income (below threshold),0 to 4,Not in low income (at or above threshold),population,101620.0,1994-95 - 1996-97,1342532.3333333335,8.0
E12000002,In low income (below threshold),11 to 15,In low income (below threshold),population,111835.33333333333,1994-95 - 1996-97,625212.0,18.0
E12000002,In low income (below threshold),11 to 15,Not in low income (at or above threshold),population,40388.0,1994-95 - 1996-97,625212.0,6.0
E12000002,In low income (below threshold),16 to 19,In low income (below threshold),population,30942.666666666668,1994-95 - 1996-97,172949.33333333334,18.0
E12000002,In low income (below threshold),16 to 19,Not in low income (at or above threshold),population,4767.333333333333,1994-95 - 1996-97,172949.33333333334,3.0
E12000002,In low income (below threshold),5 to 10,In low income (below threshold),population,213227.66666666666,1994-95 - 1996-97,964953.6666666667,22.0
E12000002,In low income (below threshold),5 to 10,Not in low income (at or above threshold),population,59521.333333333336,1994-95 - 1996-97,964953.6666666667,6.0
E12000002,In low income (below threshold),No children in the family,In low income (below threshold),population,521196.3333333333,1994-95 - 1996-97,3613385.0,14.0
