Financial Year,geography_name,geography_code,Ethnic Group of the Head of the Household (please calculate three-year averages - click on i for the correct method),variable_name,value
1994-95,North East,E12000001,Asian/ Asian British,Not in low income,3217.0
1994-95,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,5198.0
1994-95,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1994-95,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
1994-95,North East,E12000001,Other Ethnic Group,Not in low income,0.0
1994-95,North East,E12000001,White,Not in low income,1962770.0
1994-95,North West,E12000002,Asian/ Asian British,Not in low income,104028.0
1994-95,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,28794.0
1994-95,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1994-95,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
1994-95,North West,E12000002,Other Ethnic Group,Not in low income,18748.0
1994-95,North West,E12000002,White,Not in low income,5137174.0
1994-95,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,33138.0
1994-95,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,22555.0
1994-95,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1994-95,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
1994-95,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,9056.0
1994-95,Yorkshire and The Humber,E12000003,White,Not in low income,3678284.0
1995-96,North East,E12000001,Asian/ Asian British,Not in low income,5977.0
1995-96,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,2340.0
1995-96,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1995-96,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
1995-96,North East,E12000001,Other Ethnic Group,Not in low income,7227.0
1995-96,North East,E12000001,White,Not in low income,1890920.0
1995-96,North West,E12000002,Asian/ Asian British,Not in low income,91888.0
1995-96,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,21872.0
1995-96,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1995-96,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
1995-96,North West,E12000002,Other Ethnic Group,Not in low income,16636.0
1995-96,North West,E12000002,White,Not in low income,5323061.0
1995-96,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,55192.0
1995-96,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,23025.0
1995-96,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1995-96,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
1995-96,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,31668.0
1995-96,Yorkshire and The Humber,E12000003,White,Not in low income,3704675.0
1996-97,North East,E12000001,Asian/ Asian British,Not in low income,17004.0
1996-97,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
1996-97,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1996-97,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
1996-97,North East,E12000001,Other Ethnic Group,Not in low income,5048.0
1996-97,North East,E12000001,White,Not in low income,1905342.0
1996-97,North West,E12000002,Asian/ Asian British,Not in low income,62257.0
1996-97,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,16910.0
1996-97,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1996-97,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
1996-97,North West,E12000002,Other Ethnic Group,Not in low income,16599.0
1996-97,North West,E12000002,White,Not in low income,5151794.0
1996-97,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,108706.0
1996-97,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,10984.0
1996-97,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1996-97,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
1996-97,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,15857.0
1996-97,Yorkshire and The Humber,E12000003,White,Not in low income,3641257.0
1997-98,North East,E12000001,Asian/ Asian British,Not in low income,12319.0
1997-98,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
1997-98,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1997-98,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
1997-98,North East,E12000001,Other Ethnic Group,Not in low income,17461.0
1997-98,North East,E12000001,White,Not in low income,1889461.0
1997-98,North West,E12000002,Asian/ Asian British,Not in low income,81124.0
1997-98,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,22376.0
1997-98,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1997-98,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
1997-98,North West,E12000002,Other Ethnic Group,Not in low income,22506.0
1997-98,North West,E12000002,White,Not in low income,5080583.0
1997-98,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,49301.0
1997-98,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,19294.0
1997-98,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1997-98,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
1997-98,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,13580.0
1997-98,Yorkshire and The Humber,E12000003,White,Not in low income,3683335.0
1998-99,North East,E12000001,Asian/ Asian British,Not in low income,19856.0
1998-99,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
1998-99,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1998-99,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
1998-99,North East,E12000001,Other Ethnic Group,Not in low income,4786.0
1998-99,North East,E12000001,White,Not in low income,1834408.0
1998-99,North West,E12000002,Asian/ Asian British,Not in low income,80327.0
1998-99,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,50134.0
1998-99,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1998-99,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
1998-99,North West,E12000002,Other Ethnic Group,Not in low income,19501.0
1998-99,North West,E12000002,White,Not in low income,4938588.0
1998-99,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,69731.0
1998-99,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,23584.0
