Financial Year,geography_name,geography_code,Tenure Type of the Household of the Individual,variable_name,value
1994-95,North East,E12000001,All rented privately,Not in low income,134962.0
1994-95,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1396811.0
1994-95,North East,E12000001,Social rented sector tenants,Not in low income,439412.0
1994-95,North West,E12000002,All rented privately,Not in low income,363734.0
1994-95,North West,E12000002,Owned outright/buying with mortgage,Not in low income,3995432.0
1994-95,North West,E12000002,Social rented sector tenants,Not in low income,929578.0
1994-95,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,358460.0
1994-95,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2709649.0
1994-95,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,674924.0
1995-96,North East,E12000001,All rented privately,Not in low income,109422.0
1995-96,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1301708.0
1995-96,North East,E12000001,Social rented sector tenants,Not in low income,495334.0
1995-96,North West,E12000002,All rented privately,Not in low income,392397.0
1995-96,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4116741.0
1995-96,North West,E12000002,Social rented sector tenants,Not in low income,944319.0
1995-96,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,344524.0
1995-96,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2888736.0
1995-96,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,581300.0
1996-97,North East,E12000001,All rented privately,Not in low income,117387.0
1996-97,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1414498.0
1996-97,North East,E12000001,Social rented sector tenants,Not in low income,395509.0
1996-97,North West,E12000002,All rented privately,Not in low income,387316.0
1996-97,North West,E12000002,Owned outright/buying with mortgage,Not in low income,3968406.0
1996-97,North West,E12000002,Social rented sector tenants,Not in low income,891838.0
1996-97,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,308485.0
1996-97,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2843188.0
1996-97,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,625131.0
1997-98,North East,E12000001,All rented privately,Not in low income,136685.0
1997-98,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1389684.0
1997-98,North East,E12000001,Social rented sector tenants,Not in low income,392872.0
1997-98,North West,E12000002,All rented privately,Not in low income,386311.0
1997-98,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4021508.0
1997-98,North West,E12000002,Social rented sector tenants,Not in low income,798770.0
1997-98,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,302784.0
1997-98,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2866645.0
1997-98,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,596081.0
1998-99,North East,E12000001,All rented privately,Not in low income,102587.0
1998-99,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1361163.0
1998-99,North East,E12000001,Social rented sector tenants,Not in low income,395300.0
1998-99,North West,E12000002,All rented privately,Not in low income,372651.0
