Financial Year,geography_name,geography_code,Type of Individual by Age Category,variable_name,value
1994-95,North East,E12000001,Child,Not in low income,411011.0
1994-95,North East,E12000001,Pensioner,Not in low income,339162.0
1994-95,North East,E12000001,Working-Age,Not in low income,1221012.0
1994-95,North West,E12000002,Child,Not in low income,1119925.0
1994-95,North West,E12000002,Pensioner,Not in low income,899162.0
1994-95,North West,E12000002,Working-Age,Not in low income,3269657.0
1994-95,Yorkshire and The Humber,E12000003,Child,Not in low income,778407.0
1994-95,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,626674.0
1994-95,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2337952.0
1995-96,North East,E12000001,Child,Not in low income,393324.0
1995-96,North East,E12000001,Pensioner,Not in low income,327687.0
1995-96,North East,E12000001,Working-Age,Not in low income,1185453.0
1995-96,North West,E12000002,Child,Not in low income,1184390.0
1995-96,North West,E12000002,Pensioner,Not in low income,925968.0
1995-96,North West,E12000002,Working-Age,Not in low income,3343099.0
1995-96,Yorkshire and The Humber,E12000003,Child,Not in low income,821297.0
1995-96,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,632913.0
1995-96,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2360350.0
1996-97,North East,E12000001,Child,Not in low income,399259.0
1996-97,North East,E12000001,Pensioner,Not in low income,357147.0
1996-97,North East,E12000001,Working-Age,Not in low income,1170988.0
1996-97,North West,E12000002,Child,Not in low income,1101428.0
1996-97,North West,E12000002,Pensioner,Not in low income,893525.0
1996-97,North West,E12000002,Working-Age,Not in low income,3252607.0
1996-97,Yorkshire and The Humber,E12000003,Child,Not in low income,777919.0
1996-97,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,625304.0
1996-97,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2373581.0
1997-98,North East,E12000001,Child,Not in low income,388522.0
1997-98,North East,E12000001,Pensioner,Not in low income,343008.0
1997-98,North East,E12000001,Working-Age,Not in low income,1187711.0
1997-98,North West,E12000002,Child,Not in low income,1080455.0
1997-98,North West,E12000002,Pensioner,Not in low income,877063.0
1997-98,North West,E12000002,Working-Age,Not in low income,3249071.0
1997-98,Yorkshire and The Humber,E12000003,Child,Not in low income,785311.0
1997-98,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,632933.0
1997-98,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2347266.0
1998-99,North East,E12000001,Child,Not in low income,360931.0
1998-99,North East,E12000001,Pensioner,Not in low income,321919.0
1998-99,North East,E12000001,Working-Age,Not in low income,1176200.0
1998-99,North West,E12000002,Child,Not in low income,1019127.0
1998-99,North West,E12000002,Pensioner,Not in low income,857633.0
1998-99,North West,E12000002,Working-Age,Not in low income,3211790.0
1998-99,Yorkshire and The Humber,E12000003,Child,Not in low income,777279.0
1998-99,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,603077.0
1998-99,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2309783.0
1999-00,North East,E12000001,Child,Not in low income,395012.0
1999-00,North East,E12000001,Pensioner,Not in low income,327894.0
1999-00,North East,E12000001,Working-Age,Not in low income,1132245.0
1999-00,North West,E12000002,Child,Not in low income,1102879.0
1999-00,North West,E12000002,Pensioner,Not in low income,898225.0
1999-00,North West,E12000002,Working-Age,Not in low income,3254756.0
1999-00,Yorkshire and The Humber,E12000003,Child,Not in low income,773492.0
1999-00,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,627020.0
1999-00,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2356370.0
2000-01,North East,E12000001,Child,Not in low income,381157.0
2000-01,North East,E12000001,Pensioner,Not in low income,328318.0
2000-01,North East,E12000001,Working-Age,Not in low income,1177350.0
2000-01,North West,E12000002,Child,Not in low income,1170348.0
