Financial Year,geography_name,geography_code,Savings and Investments of Adults in the Family of the Individual,variable_name,value
1994-95,North East,E12000001,"Less than £1,500",Not in low income,407006.0
1994-95,North East,E12000001,No savings,Not in low income,714434.0
1994-95,North East,E12000001,"£1,500 but less than £3,000",Not in low income,186142.0
1994-95,North East,E12000001,"£10,000 but less than £16,000",Not in low income,109164.0
1994-95,North East,E12000001,"£16,000 but less than £20,000",Not in low income,55020.0
1994-95,North East,E12000001,"£20,000 or more",Not in low income,197903.0
1994-95,North East,E12000001,"£3,000 but less than £8,000",Not in low income,241786.0
1994-95,North East,E12000001,"£8,000 but less than £10,000",Not in low income,59730.0
1994-95,North West,E12000002,"Less than £1,500",Not in low income,974194.0
1994-95,North West,E12000002,No savings,Not in low income,1873105.0
1994-95,North West,E12000002,"£1,500 but less than £3,000",Not in low income,474206.0
1994-95,North West,E12000002,"£10,000 but less than £16,000",Not in low income,289009.0
1994-95,North West,E12000002,"£16,000 but less than £20,000",Not in low income,152986.0
1994-95,North West,E12000002,"£20,000 or more",Not in low income,658623.0
1994-95,North West,E12000002,"£3,000 but less than £8,000",Not in low income,638757.0
1994-95,North West,E12000002,"£8,000 but less than £10,000",Not in low income,227864.0
1994-95,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,710387.0
1994-95,Yorkshire and The Humber,E12000003,No savings,Not in low income,1241536.0
1994-95,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,340759.0
1994-95,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,242547.0
1994-95,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,130247.0
1994-95,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,441486.0
1994-95,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,516867.0
1994-95,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,119204.0
1995-96,North East,E12000001,"Less than £1,500",Not in low income,347382.0
1995-96,North East,E12000001,No savings,Not in low income,797042.0
1995-96,North East,E12000001,"£1,500 but less than £3,000",Not in low income,160180.0
1995-96,North East,E12000001,"£10,000 but less than £16,000",Not in low income,90419.0
1995-96,North East,E12000001,"£16,000 but less than £20,000",Not in low income,38795.0
1995-96,North East,E12000001,"£20,000 or more",Not in low income,182476.0
1995-96,North East,E12000001,"£3,000 but less than £8,000",Not in low income,227066.0
1995-96,North East,E12000001,"£8,000 but less than £10,000",Not in low income,63104.0
1995-96,North West,E12000002,"Less than £1,500",Not in low income,1084246.0
1995-96,North West,E12000002,No savings,Not in low income,1998188.0
1995-96,North West,E12000002,"£1,500 but less than £3,000",Not in low income,481034.0
1995-96,North West,E12000002,"£10,000 but less than £16,000",Not in low income,234810.0
1995-96,North West,E12000002,"£16,000 but less than £20,000",Not in low income,129940.0
1995-96,North West,E12000002,"£20,000 or more",Not in low income,677104.0
1995-96,North West,E12000002,"£3,000 but less than £8,000",Not in low income,720250.0
1995-96,North West,E12000002,"£8,000 but less than £10,000",Not in low income,127885.0
1995-96,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,825446.0
1995-96,Yorkshire and The Humber,E12000003,No savings,Not in low income,1249726.0
1995-96,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,390615.0
1995-96,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,209424.0
1995-96,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,77603.0
1995-96,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,437825.0
1995-96,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,524551.0
1995-96,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,99370.0
1996-97,North East,E12000001,"Less than £1,500",Not in low income,447822.0
1996-97,North East,E12000001,No savings,Not in low income,666966.0
1996-97,North East,E12000001,"£1,500 but less than £3,000",Not in low income,198258.0
1996-97,North East,E12000001,"£10,000 but less than £16,000",Not in low income,98249.0
1996-97,North East,E12000001,"£16,000 but less than £20,000",Not in low income,33031.0
1996-97,North East,E12000001,"£20,000 or more",Not in low income,200643.0
1996-97,North East,E12000001,"£3,000 but less than £8,000",Not in low income,227067.0
1996-97,North East,E12000001,"£8,000 but less than £10,000",Not in low income,55358.0
1996-97,North West,E12000002,"Less than £1,500",Not in low income,1248656.0
1996-97,North West,E12000002,No savings,Not in low income,1759893.0
1996-97,North West,E12000002,"£1,500 but less than £3,000",Not in low income,467532.0
1996-97,North West,E12000002,"£10,000 but less than £16,000",Not in low income,223398.0
1996-97,North West,E12000002,"£16,000 but less than £20,000",Not in low income,108797.0
1996-97,North West,E12000002,"£20,000 or more",Not in low income,635115.0
1996-97,North West,E12000002,"£3,000 but less than £8,000",Not in low income,665775.0
1996-97,North West,E12000002,"£8,000 but less than £10,000",Not in low income,138394.0
1996-97,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,857868.0
1996-97,Yorkshire and The Humber,E12000003,No savings,Not in low income,1092673.0
1996-97,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,395840.0
1996-97,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,195349.0
1996-97,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,93891.0
1996-97,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,506681.0
1996-97,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,537145.0
1996-97,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,97357.0
1997-98,North East,E12000001,"Less than £1,500",Not in low income,470850.0
1997-98,North East,E12000001,No savings,Not in low income,638341.0
1997-98,North East,E12000001,"£1,500 but less than £3,000",Not in low income,162752.0
1997-98,North East,E12000001,"£10,000 but less than £16,000",Not in low income,117403.0
1997-98,North East,E12000001,"£16,000 but less than £20,000",Not in low income,44580.0
1997-98,North East,E12000001,"£20,000 or more",Not in low income,222007.0
1997-98,North East,E12000001,"£3,000 but less than £8,000",Not in low income,219255.0
1997-98,North East,E12000001,"£8,000 but less than £10,000",Not in low income,44053.0
1997-98,North West,E12000002,"Less than £1,500",Not in low income,1155988.0
1997-98,North West,E12000002,No savings,Not in low income,1878526.0
1997-98,North West,E12000002,"£1,500 but less than £3,000",Not in low income,437889.0
1997-98,North West,E12000002,"£10,000 but less than £16,000",Not in low income,279430.0
1997-98,North West,E12000002,"£16,000 but less than £20,000",Not in low income,114268.0
