geography_code,ahc_income_status,Marital Status of Adults and Type of Couple in the Family of the Individual,bhc_income_status,variable_name,value,date,population,percent
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,570947.6666666666,1994-95 - 1996-97,2543594.0,22.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,172774.33333333334,1994-95 - 1996-97,2543594.0,7.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,1285379.6666666667,1994-95 - 1996-97,6719032.333333334,19.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,450426.3333333333,1994-95 - 1996-97,6719032.333333334,7.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,998295.3333333334,1994-95 - 1996-97,4882394.666666667,20.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,289026.0,1994-95 - 1996-97,4882394.666666667,6.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,37632.0,1994-95 - 1996-97,2543594.0,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1762240.0,1994-95 - 1996-97,2543594.0,69.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,103732.33333333333,1994-95 - 1996-97,6719032.333333334,2.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,4879494.0,1994-95 - 1996-97,6719032.333333334,73.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,105967.0,1994-95 - 1996-97,4882394.666666667,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3489106.3333333335,1994-95 - 1996-97,4882394.666666667,71.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,0.0,1994-95 - 1996-97,0.0,
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,490003.6666666667,1995-96 - 1997-98,2245991.6666666665,22.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,130642.0,1995-96 - 1997-98,2245991.6666666665,6.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,93238.33333333333,1995-96 - 1997-98,290201.6666666666,32.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,33237.333333333336,1995-96 - 1997-98,290201.6666666666,11.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,1074415.0,1995-96 - 1997-98,5924344.666666667,18.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,376129.3333333333,1995-96 - 1997-98,5924344.666666667,6.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,216484.0,1995-96 - 1997-98,779322.0,28.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,84915.0,1995-96 - 1997-98,779322.0,11.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,854926.6666666666,1995-96 - 1997-98,4355908.333333334,20.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,198839.33333333334,1995-96 - 1997-98,4355908.333333334,5.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,149439.66666666666,1995-96 - 1997-98,524768.6666666666,28.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,51348.0,1995-96 - 1997-98,524768.6666666666,10.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,27322.666666666668,1995-96 - 1997-98,2245991.6666666665,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1598023.3333333333,1995-96 - 1997-98,2245991.6666666665,71.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,7929.0,1995-96 - 1997-98,290201.6666666666,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,155797.0,1995-96 - 1997-98,290201.6666666666,54.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,91734.33333333333,1995-96 - 1997-98,5924344.666666667,2.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,4382066.0,1995-96 - 1997-98,5924344.666666667,74.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,18498.0,1995-96 - 1997-98,779322.0,2.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,459425.0,1995-96 - 1997-98,779322.0,59.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,79391.0,1995-96 - 1997-98,4355908.333333334,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3222751.3333333335,1995-96 - 1997-98,4355908.333333334,74.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,11295.0,1995-96 - 1997-98,524768.6666666666,2.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,312686.0,1995-96 - 1997-98,524768.6666666666,60.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,401249.6666666667,1996-97 - 1998-99,1930365.3333333335,21.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,92737.66666666667,1996-97 - 1998-99,1930365.3333333335,5.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,187589.33333333334,1996-97 - 1998-99,598237.0,31.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,62722.666666666664,1996-97 - 1998-99,598237.0,10.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,962457.6666666666,1996-97 - 1998-99,5145515.333333334,19.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,241446.66666666666,1996-97 - 1998-99,5145515.333333334,5.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,432994.0,1996-97 - 1998-99,1545779.3333333333,28.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,178317.0,1996-97 - 1998-99,1545779.3333333333,12.0
