dimension_name,dimension
Work and Health Programme First Earnings from Employment,str:count:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS
First Earnings from Employment Month,str:field:WHP_First_Earnings:F_WHP_DATE:DATE_NAME
Start Month,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:START_MONTH
Geography (residence-based),str:group:WHP_First_Earnings:X_Geography+%28residence-based%29
Age (bands and single year),str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:AGE
Area,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:CONTRACT_REFERENCE_NUMBER
Devolved Deal Area,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:DDA_FLAG
Eligibility Group,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:ENTRY_TYPE
Gender,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:CCSEX
First Earnings from Employment Achieved,str:group:WHP_First_Earnings:X_First+Earnings+from+Employment+Achieved
