dimension_name,dimension
Onflow Month,str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:ONFLOW
Off-flow Month,str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:LAST_CAPPED
National - Regional - LA- OAs,['str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:ADMIN_LA_CODE']
National - Regional - LA- Ward,['Local Authority']
Westminster Parliamentary Constituencies,str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:COA_2011
Age,str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:WARD_CODE
Gender (single claimants),str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:PARLC_CODE
Family Type,str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:AGE_YEAR
Number of Children,str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:SINGLE_GEN
Private or Social Rented,str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:FAMILY_PUB
Detailed Housing Type,str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:NO_CHILDREN
Outcome at Off-flow,str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:TENURE_PUB
Amount of Benefit Capped (in bands),str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:SECTOR_PUB
Housing Benefit Amount (in bands),str:field:Benefit_Cap_Cumulative_2011:V_F_BC_CUMULATIVE_FULL_2011:OUTCOME_CODE
