dimension_name,dimension
Quarter,str:field:DLA_In_Payment:F_DLA_QTR:DATE_NAME
National - Regional - LA - OAs,str:field:DLA_In_Payment:V_F_DLA_In_Payment:COA_CODE
Westminster Parliamentary Constituencies,str:field:DLA_In_Payment:V_F_DLA_In_Payment:PARLC_code
Scottish Parliamentary Constituencies,str:field:DLA_In_Payment:V_F_DLA_In_Payment:SPARLC_code
Age (bands and single year),str:field:DLA_In_Payment:V_F_DLA_In_Payment:CNAGE
Care Award Type,str:field:DLA_In_Payment:V_F_DLA_In_Payment:CAREPAY
Client Type,str:field:DLA_In_Payment:V_F_DLA_In_Payment:CCCLIENT
Duration of Current Claim,str:field:DLA_In_Payment:V_F_DLA_In_Payment:CTDURTN
Gender,str:field:DLA_In_Payment:V_F_DLA_In_Payment:CCSEX
Main Disabling Condition,str:field:DLA_In_Payment:V_F_DLA_In_Payment:DISABLED
Mobility Award Type,str:field:DLA_In_Payment:V_F_DLA_In_Payment:CCMOBPAY
