date,geography_code,geography_name,variable_name,value
2023-08,E12000001,North East,Claimant count,66360
2023-08,E12000001,North East,Claimants as a proportion of residents aged 16-64,4.1
2023-08,E12000002,North West,Claimant count,192765
2023-08,E12000002,North West,Claimants as a proportion of residents aged 16-64,4.2
2023-08,E12000003,Yorkshire and The Humber,Claimant count,137825
2023-08,E12000003,Yorkshire and The Humber,Claimants as a proportion of residents aged 16-64,4
2023-08,E05010412,Bank Top & Lascelles,Claimant count,305
2023-08,E05010412,Bank Top & Lascelles,Claimants as a proportion of residents aged 16-64,6.8
2023-08,E05010413,Brinkburn & Faverdale,Claimant count,90
2023-08,E05010413,Brinkburn & Faverdale,Claimants as a proportion of residents aged 16-64,2.1
2023-08,E05010414,Cockerton,Claimant count,175
2023-08,E05010414,Cockerton,Claimants as a proportion of residents aged 16-64,4.8
2023-08,E05010415,College,Claimant count,50
2023-08,E05010415,College,Claimants as a proportion of residents aged 16-64,1.8
2023-08,E05010416,Eastbourne,Claimant count,245
2023-08,E05010416,Eastbourne,Claimants as a proportion of residents aged 16-64,6.1
2023-08,E05010417,Harrowgate Hill,Claimant count,105
2023-08,E05010417,Harrowgate Hill,Claimants as a proportion of residents aged 16-64,2.7
2023-08,E05010418,Haughton & Springfield,Claimant count,125
2023-08,E05010418,Haughton & Springfield,Claimants as a proportion of residents aged 16-64,3.5
2023-08,E05010419,Heighington & Coniscliffe,Claimant count,50
2023-08,E05010419,Heighington & Coniscliffe,Claimants as a proportion of residents aged 16-64,1.8
2023-08,E05010420,Hummersknott,Claimant count,15
2023-08,E05010420,Hummersknott,Claimants as a proportion of residents aged 16-64,0.8
2023-08,E05010421,Hurworth,Claimant count,35
2023-08,E05010421,Hurworth,Claimants as a proportion of residents aged 16-64,1.8
2023-08,E05010422,Mowden,Claimant count,25
2023-08,E05010422,Mowden,Claimants as a proportion of residents aged 16-64,1.3
2023-08,E05010423,North Road,Claimant count,265
2023-08,E05010423,North Road,Claimants as a proportion of residents aged 16-64,6.5
2023-08,E05010424,Northgate,Claimant count,255
2023-08,E05010424,Northgate,Claimants as a proportion of residents aged 16-64,8.5
2023-08,E05010425,Park East,Claimant count,445
2023-08,E05010425,Park East,Claimants as a proportion of residents aged 16-64,8.5
2023-08,E05010426,Park West,Claimant count,50
2023-08,E05010426,Park West,Claimants as a proportion of residents aged 16-64,2.1
2023-08,E05010427,Pierremont,Claimant count,190
2023-08,E05010427,Pierremont,Claimants as a proportion of residents aged 16-64,4.7
2023-08,E05010428,Red Hall & Lingfield,Claimant count,125
2023-08,E05010428,Red Hall & Lingfield,Claimants as a proportion of residents aged 16-64,4.9
2023-08,E05010429,Sadberge & Middleton St George,Claimant count,70
2023-08,E05010429,Sadberge & Middleton St George,Claimants as a proportion of residents aged 16-64,1.7
2023-08,E05010430,Stephenson,Claimant count,190
2023-08,E05010430,Stephenson,Claimants as a proportion of residents aged 16-64,6.5
2023-08,E05010431,Whinfield,Claimant count,50
2023-08,E05010431,Whinfield,Claimants as a proportion of residents aged 16-64,2.4
2023-08,E05009030,Annfield Plain,Claimant count,220
2023-08,E05009030,Annfield Plain,Claimants as a proportion of residents aged 16-64,4.4
2023-08,E05009031,Aycliffe East,Claimant count,140
2023-08,E05009031,Aycliffe East,Claimants as a proportion of residents aged 16-64,2.8
2023-08,E05009032,Aycliffe North and Middridge,Claimant count,155
2023-08,E05009032,Aycliffe North and Middridge,Claimants as a proportion of residents aged 16-64,2.4
2023-08,E05009033,Aycliffe West,Claimant count,205
2023-08,E05009033,Aycliffe West,Claimants as a proportion of residents aged 16-64,4.5
2023-08,E05009034,Barnard Castle East,Claimant count,80
2023-08,E05009034,Barnard Castle East,Claimants as a proportion of residents aged 16-64,1.6
2023-08,E05009035,Barnard Castle West,Claimant count,65
2023-08,E05009035,Barnard Castle West,Claimants as a proportion of residents aged 16-64,1.3
2023-08,E05009036,Belmont,Claimant count,240
2023-08,E05009036,Belmont,Claimants as a proportion of residents aged 16-64,2.6
2023-08,E05009037,Benfieldside,Claimant count,100
2023-08,E05009037,Benfieldside,Claimants as a proportion of residents aged 16-64,2
2023-08,E05009038,Bishop Auckland Town,Claimant count,200
2023-08,E05009038,Bishop Auckland Town,Claimants as a proportion of residents aged 16-64,4.3
2023-08,E05009039,Bishop Middleham and Cornforth,Claimant count,75
2023-08,E05009039,Bishop Middleham and Cornforth,Claimants as a proportion of residents aged 16-64,3.6
2023-08,E05009040,Blackhalls,Claimant count,215
2023-08,E05009040,Blackhalls,Claimants as a proportion of residents aged 16-64,4.5
2023-08,E05009041,Brandon,Claimant count,185
2023-08,E05009041,Brandon,Claimants as a proportion of residents aged 16-64,2.8
2023-08,E05009042,Burnopfield and Dipton,Claimant count,110
2023-08,E05009042,Burnopfield and Dipton,Claimants as a proportion of residents aged 16-64,2.2
2023-08,E05009043,Chester-le-Street East,Claimant count,50
2023-08,E05009043,Chester-le-Street East,Claimants as a proportion of residents aged 16-64,2.2
2023-08,E05009044,Chester-le-Street North,Claimant count,50
2023-08,E05009044,Chester-le-Street North,Claimants as a proportion of residents aged 16-64,2.3
2023-08,E05009045,Chester-le-Street South,Claimant count,90
2023-08,E05009045,Chester-le-Street South,Claimants as a proportion of residents aged 16-64,2
2023-08,E05009046,Chester-le-Street West Central,Claimant count,220
2023-08,E05009046,Chester-le-Street West Central,Claimants as a proportion of residents aged 16-64,4.4
2023-08,E05009047,Chilton,Claimant count,120
2023-08,E05009047,Chilton,Claimants as a proportion of residents aged 16-64,4.3
2023-08,E05009048,Consett North,Claimant count,150
2023-08,E05009048,Consett North,Claimants as a proportion of residents aged 16-64,3.1
2023-08,E05009049,Consett South,Claimant count,125
2023-08,E05009049,Consett South,Claimants as a proportion of residents aged 16-64,3.5
2023-08,E05009050,Coundon,Claimant count,115
2023-08,E05009050,Coundon,Claimants as a proportion of residents aged 16-64,4.2
2023-08,E05009051,Coxhoe,Claimant count,230
2023-08,E05009051,Coxhoe,Claimants as a proportion of residents aged 16-64,2.9
2023-08,E05009052,Craghead and South Moor,Claimant count,245
2023-08,E05009052,Craghead and South Moor,Claimants as a proportion of residents aged 16-64,4.8
2023-08,E05009053,Crook,Claimant count,265
2023-08,E05009053,Crook,Claimants as a proportion of residents aged 16-64,3.6
2023-08,E05009054,Dawdon,Claimant count,245
2023-08,E05009054,Dawdon,Claimants as a proportion of residents aged 16-64,4.4
2023-08,E05009055,Deerness,Claimant count,225
2023-08,E05009055,Deerness,Claimants as a proportion of residents aged 16-64,2.8
2023-08,E05009056,Delves Lane,Claimant count,190
2023-08,E05009056,Delves Lane,Claimants as a proportion of residents aged 16-64,3.5
2023-08,E05009057,Deneside,Claimant count,175
2023-08,E05009057,Deneside,Claimants as a proportion of residents aged 16-64,4.1
2023-08,E05009058,Durham South,Claimant count,15
2023-08,E05009058,Durham South,Claimants as a proportion of residents aged 16-64,1.3
2023-08,E05009059,Easington,Claimant count,210
2023-08,E05009059,Easington,Claimants as a proportion of residents aged 16-64,4.5
2023-08,E05009060,Elvet and Gilesgate,Claimant count,145
2023-08,E05009060,Elvet and Gilesgate,Claimants as a proportion of residents aged 16-64,1.3
2023-08,E05009061,Esh and Witton Gilbert,Claimant count,105
2023-08,E05009061,Esh and Witton Gilbert,Claimants as a proportion of residents aged 16-64,2.1
2023-08,E05009062,Evenwood,Claimant count,125
2023-08,E05009062,Evenwood,Claimants as a proportion of residents aged 16-64,2.6
2023-08,E05009063,Ferryhill,Claimant count,360
2023-08,E05009063,Ferryhill,Claimants as a proportion of residents aged 16-64,5.5
2023-08,E05009064,Framwellgate and Newton Hall,Claimant count,125
2023-08,E05009064,Framwellgate and Newton Hall,Claimants as a proportion of residents aged 16-64,1.4
2023-08,E05009065,Horden,Claimant count,290
2023-08,E05009065,Horden,Claimants as a proportion of residents aged 16-64,6.4
2023-08,E05009066,Lanchester,Claimant count,85
2023-08,E05009066,Lanchester,Claimants as a proportion of residents aged 16-64,2
2023-08,E05009067,Leadgate and Medomsley,Claimant count,160
