dimension_name,dimension
Type of Flow,str:field:hb_flows:V_F_HB_FLOWS:FLOW
Month,str:field:hb_flows:F_HB_FLOWS_DATE:NEW_DATE_NAME
Geography (admin-based),str:group:hb_flows:X_Geography+%28admin-based%29
Geography (residence-based),str:group:hb_flows:X_Geography+%28residence-based%29
Age of Claimant (years and bands),str:field:hb_flows:V_F_HB_FLOWS:AGE_YEAR
Age of Claimant (bands only),str:field:hb_flows:V_F_HB_FLOWS:AGE_BAND
Client Type,str:field:hb_flows:V_F_HB_FLOWS:PENWORK
Family Type,str:field:hb_flows:V_F_HB_FLOWS:FAMILY_PUB
Number of Child-Dependants,str:field:hb_flows:V_F_HB_FLOWS:NUM_DEPS
Number of Non-Dependants,str:field:hb_flows:V_F_HB_FLOWS:NUM_NDEPS
Gender (single claimants only),str:field:hb_flows:V_F_HB_FLOWS:SINGLE_GEN
Private or Social Rented,str:field:hb_flows:V_F_HB_FLOWS:TENURE_PUB
Detailed Housing Type,str:field:hb_flows:V_F_HB_FLOWS:SECTOR_PUB
Entitled Bedrooms (LHA only),str:field:hb_flows:V_F_HB_FLOWS:LHAROOM
Passported Benefit Status,str:field:hb_flows:V_F_HB_FLOWS:PASSPORTIND
Employment Status,str:field:hb_flows:V_F_HB_FLOWS:EMP
Weekly Award Amount (bands),str:field:hb_flows:V_F_HB_FLOWS:AMT_BAND_LOW
Pay Destination,str:field:hb_flows:V_F_HB_FLOWS:CCPAYDEST
Removal of Spare Room Subsidy,str:group:hb_flows:X_Removal+of+Spare+Room+Subsidy
