dimension_name,dimension
Quarter,str:field:IS:F_IS_QTR:DATE_NAME
Geography (residence-based),str:group:IS:X_Geography+%28residence-based%29
Age (bands and single year),str:field:IS:V_F_IS:CNAGE
Duration of Current Claim,str:field:IS:V_F_IS:duration
Gender of claimant,str:field:IS:V_F_IS:CCSEX
Grouped Amount of Benefit,str:field:IS:V_F_IS:amtgp
Minimum Income Guarantee,str:field:IS:V_F_IS:ccmig
Number of child dependants,str:field:IS:V_F_IS:children
Partner indicator,str:field:IS:V_F_IS:ptnr
Statistical group,str:field:IS:V_F_IS:statgp
