dimension_name,dimension
Quarter,str:field:SP:F_SP_QTR:DATE_NAME
National - Regional - LA - OAs,str:field:SP:V_F_SP_CASELOAD:COA_CODE
Westminster Parliamentary Constituencies,str:field:SP:V_F_SP_CASELOAD:PARLC_code
Scottish Parliamentary Constituencies,str:field:SP:V_F_SP_CASELOAD:SPARLC_code
Age (bands and single year),str:field:SP:V_F_SP_CASELOAD:CNAGE
Category of Pension,str:field:SP:V_F_SP_CASELOAD:CAT
Country code for abroad cases,str:field:SP:V_F_SP_CASELOAD:CCCOUNTRY
Country summary,str:field:SP:V_F_SP_CASELOAD:COUNTRY_SUM
Dependency Increase,str:field:SP:V_F_SP_CASELOAD:DEPFG
Gender,str:field:SP:V_F_SP_CASELOAD:SEX
Grouped Amount of Benefit,str:field:SP:V_F_SP_CASELOAD:AMTGP
