financial_year,ethnic_group_of_the_head_of_the_household_please_calculate_three_year_averages_click_on_i_for_the_correct_method_,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2013-14,Asian/ Asian British,49233.0,24553.0,North East,E12000001
2013-14,Black/ African/ Caribbean/ Black British,0.0,0.0,North East,E12000001
2013-14,Mixed/ Multiple Ethnic Groups,5442.0,1413.0,North East,E12000001
2013-14,Not declared (from 2020/21 onwards),0.0,0.0,North East,E12000001
2013-14,Other Ethnic Group,5361.0,0.0,North East,E12000001
2013-14,White,2076111.0,398463.0,North East,E12000001
2013-14,Asian/ Asian British,213357.0,87044.0,North West,E12000002
2013-14,Black/ African/ Caribbean/ Black British,75057.0,73223.0,North West,E12000002
2013-14,Mixed/ Multiple Ethnic Groups,45661.0,1827.0,North West,E12000002
2013-14,Not declared (from 2020/21 onwards),0.0,0.0,North West,E12000002
2013-14,Other Ethnic Group,63968.0,26124.0,North West,E12000002
2013-14,White,5408129.0,986883.0,North West,E12000002
2013-14,Asian/ Asian British,268922.0,61255.0,Yorkshire and The Humber,E12000003
2013-14,Black/ African/ Caribbean/ Black British,60979.0,31919.0,Yorkshire and The Humber,E12000003
2013-14,Mixed/ Multiple Ethnic Groups,29048.0,7892.0,Yorkshire and The Humber,E12000003
2013-14,Not declared (from 2020/21 onwards),0.0,0.0,Yorkshire and The Humber,E12000003
2013-14,Other Ethnic Group,18237.0,13507.0,Yorkshire and The Humber,E12000003
2013-14,White,3985438.0,763227.0,Yorkshire and The Humber,E12000003
