dimension_name,dimension
PIP Award Review Clearances to 2016,str:count:PIP_AR_COC_Clearances_pre2016:V_F_PIP_AR_COC_CLEARANCES_PRE2016
Month,str:field:PIP_AR_COC_Clearances_pre2016:F_PIP_DATE_PRE2016:DATE2
Geography (residence-based),str:group:PIP_AR_COC_Clearances_pre2016:X_Geography+%28residence-based%29
Age (bands and single year),str:field:PIP_AR_COC_Clearances_pre2016:V_F_PIP_AR_COC_CLEARANCES_PRE2016:SINGLE_AGE
Disability,str:field:PIP_AR_COC_Clearances_pre2016:V_F_PIP_AR_COC_CLEARANCES_PRE2016:DISABILITY_CODE
Gender,str:field:PIP_AR_COC_Clearances_pre2016:V_F_PIP_AR_COC_CLEARANCES_PRE2016:SEX
ICD Summary Code,str:field:PIP_AR_COC_Clearances_pre2016:V_F_PIP_AR_COC_CLEARANCES_PRE2016:ICD_SUMMARY_CODE
Intervention Indicator,str:field:PIP_AR_COC_Clearances_pre2016:V_F_PIP_AR_COC_CLEARANCES_PRE2016:PIP_INTERVENTION_TYPE_IND
Outcome,str:field:PIP_AR_COC_Clearances_pre2016:V_F_PIP_AR_COC_CLEARANCES_PRE2016:OUTCOME
Re-assessment Indicator,str:field:PIP_AR_COC_Clearances_pre2016:V_F_PIP_AR_COC_CLEARANCES_PRE2016:REASS_TYPE_IND
State Pension Age,str:field:PIP_AR_COC_Clearances_pre2016:V_F_PIP_AR_COC_CLEARANCES_PRE2016:SPA
