Stat-Xplore

"Households Below Average Income (I II III IV V VI i)"
"Type of Individual by Age Category by Financial Year by 60 per cent of median net household income (BHC) in latest prices and Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method)"
"Counting: Weighted Sum of Income Distribution - Whole Population"

Filters:
"Default Summation","Weighted Sum of Income Distribution - Whole Population"

"Measures","Type of Individual by Age Category","Financial Year","60 per cent of median net household income (BHC) in latest prices","Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method) (3ya)","Count","RSE","Annotations"
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",870439,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","Not in low income (at or above threshold)","North West (E12000002)",1179423,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","Not in low income (at or above threshold)","North East (E12000001)",412018,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","Not in low income (at or above threshold)","Total",2461880,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",257584,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","In low income (below threshold)","North West (E12000002)",326371,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","In low income (below threshold)","North East (E12000001)",109452,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","In low income (below threshold)","Total",693407,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","Total","Yorkshire and The Humber (E12000003)",1128023,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","Total","North West (E12000002)",1505794,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","Total","North East (E12000001)",521470,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2014-15 (r)","Total","Total",3155287,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",851478,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","Not in low income (at or above threshold)","North West (E12000002)",1158364,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","Not in low income (at or above threshold)","North East (E12000001)",391807,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","Not in low income (at or above threshold)","Total",2401649,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",280293,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","In low income (below threshold)","North West (E12000002)",351262,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","In low income (below threshold)","North East (E12000001)",130598,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","In low income (below threshold)","Total",762153,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","Total","Yorkshire and The Humber (E12000003)",1131771,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","Total","North West (E12000002)",1509626,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","Total","North East (E12000001)",522405,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2015-16 (r)","Total","Total",3163802,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",904679,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","Not in low income (at or above threshold)","North West (E12000002)",1138944,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","Not in low income (at or above threshold)","North East (E12000001)",387396,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","Not in low income (at or above threshold)","Total",2431019,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",231410,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","In low income (below threshold)","North West (E12000002)",375283,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","In low income (below threshold)","North East (E12000001)",136245,0.00,
