date,geography_code,phase,fsm_eligible_percent
202021,E12000001,Pupil referral unit,56.6
202021,E12000001,Special school,49.6
202021,E12000001,State-funded nursery,4.4
202021,E12000001,State-funded primary,27.4
202021,E12000001,State-funded secondary,23.9
202021,E12000001,Total,26.3
202021,E12000002,Pupil referral unit,53.0
202021,E12000002,Special school,44.4
202021,E12000002,State-funded nursery,3.1
202021,E12000002,State-funded primary,23.0
202021,E12000002,State-funded secondary,21.3
202021,E12000002,Total,22.7
202021,E12000003,Pupil referral unit,56.2
202021,E12000003,Special school,42.9
202021,E12000003,State-funded nursery,4.5
202021,E12000003,State-funded primary,22.1
202021,E12000003,State-funded secondary,20.8
202021,E12000003,Total,21.9
201920,E12000003,Total,19.4
201920,E12000001,Total,23.5
201920,E12000002,Total,20.2
201920,E12000003,Non-maintained special school,34.6
201920,E12000001,Non-maintained special school,24.7
201920,E12000002,Non-maintained special school,19.4
201920,E12000003,Pupil referral unit,51.4
201920,E12000001,Pupil referral unit,51.4
201920,E12000002,Pupil referral unit,48.8
201920,E12000003,State-funded nursery,3.4
201920,E12000001,State-funded nursery,3.2
201920,E12000002,State-funded nursery,2.9
201920,E12000003,State-funded primary,19.7
201920,E12000001,State-funded primary,24.4
201920,E12000002,State-funded primary,20.4
201920,E12000003,State-funded secondary,18.3
201920,E12000001,State-funded secondary,21.2
201920,E12000002,State-funded secondary,18.8
201920,E12000003,State-funded special school,41.5
201920,E12000001,State-funded special school,48.9
201920,E12000002,State-funded special school,43.4
201819,E12000003,Total,17.4
201819,E12000001,Total,21.0
201819,E12000002,Total,18.0
201819,E12000001,Non-maintained special school,21.4
201819,E12000003,Non-maintained special school,37.0
201819,E12000002,Non-maintained special school,21.8
201819,E12000002,Pupil referral unit,47.0
201819,E12000003,Pupil referral unit,48.3
201819,E12000001,Pupil referral unit,44.3
201819,E12000002,State-funded nursery,3.3
201819,E12000003,State-funded nursery,3.3
201819,E12000001,State-funded nursery,3.6
201819,E12000003,State-funded primary,17.7
201819,E12000001,State-funded primary,22.0
201819,E12000002,State-funded primary,18.2
201819,E12000003,State-funded secondary,16.2
201819,E12000001,State-funded secondary,18.7
201819,E12000002,State-funded secondary,16.8
201819,E12000003,State-funded special school,40.1
201819,E12000001,State-funded special school,46.5
201819,E12000002,State-funded special school,41.6
201718,E12000003,Total,15.5
201718,E12000001,Total,18.5
