code,name
E05001165,St Anne's
E05001166,St Chad's
E05001167,St Michael's
E05001168,St Peter's
E05001169,Sandhill
E05001170,Shiney Row
E05001171,Silksworth
E05001172,Southwick
E05001173,Washington Central
E05001174,Washington East
E05001175,Washington North
E05001176,Washington South
E05001177,Washington West
E05001067,Birtley
E05001068,Blaydon
E05001069,Bridges
E05001071,Chowdene
E05001072,Crawcrook and Greenside
E05001073,Deckham
E05001074,Dunston and Teams
E05001075,Dunston Hill and Whickham East
E05001076,Felling
E05001077,High Fell
E05001078,Lamesley
E05001079,Lobley Hill and Bensham
E05001080,Low Fell
E05001081,Pelaw and Heworth
E05001082,"Ryton, Crookhill and Stella"
E05001083,Saltwell
E05001084,Wardley and Leam Lane
E05001085,Whickham North
E05001086,Whickham South and Sunniside
E05001087,Windy Nook and Whitehills
E05001088,Winlaton and High Spen
E05009313,Chopwell and Rowlands Gill
E05011436,Arthur's Hill
E05011437,Benwell & Scotswood
E05011438,Blakelaw
E05011439,Byker
E05011440,Callerton & Throckley
E05011441,Castle
E05011442,Chapel
E05011443,Dene & South Gosforth
E05011444,Denton & Westerhope
E05011445,Elswick
E05011446,Fawdon & West Gosforth
E05011447,Gosforth
E05011448,Heaton
E05011449,Kenton
E05011450,Kingston Park South & Newbiggin Hall
E05011451,Lemington
E05011452,Manor Park
E05011453,Monument
E05011454,North Jesmond
E05011455,Ouseburn
E05011456,Parklands
E05011457,South Jesmond
E05011458,Walker
E05011459,Walkergate
E05011460,West Fenham
E05011461,Wingrove
E05001115,Battle Hill
E05001116,Benton
E05001117,Camperdown
E05001118,Chirton
E05001119,Collingwood
E05001120,Cullercoats
E05001121,Howdon
E05001122,Killingworth
E05001123,Longbenton
E05001124,Monkseaton North
E05001125,Monkseaton South
E05001126,Northumberland
E05001127,Preston
E05001128,Riverside
E05001129,St Mary's
E05001130,Tynemouth
E05001131,Valley
E05001132,Wallsend
E05001133,Weetslade
E05001134,Whitley Bay
E05013038,Burn Valley
E05013039,De Bruce
E05013040,Fens & Greatham
E05013041,Foggy Furze
E05013042,Hart
E05013043,Headland & Harbour
E05013044,Manor House
E05013045,Rossmere
E05013046,Rural West
E05013047,Seaton
E05013048,Throston
E05013049,Victoria
E05009853,Acklam
E05009854,Ayresome
E05009855,Berwick Hills & Pallister
E05009856,Brambles & Thorntree
E05009857,Central
E05009858,Coulby Newham
E05009859,Hemlington
E05009860,Kader
E05009861,Ladgate
E05009862,Linthorpe
E05009863,Longlands & Beechwood
E05009864,Marton East
E05009865,Marton West
E05009866,Newport
E05009867,North Ormesby
E05009868,Nunthorpe
E05009869,Park
E05009870,Park End & Beckfield
E05009871,Stainton & Thornton
E05009872,Trimdon
E05012437,Belmont
E05012438,Brotton
E05012439,Coatham
E05012440,Dormanstown
E05012441,Eston
E05012442,Grangetown
E05012443,Guisborough
E05012444,Hutton
E05012445,Kirkleatham
E05012446,Lockwood
E05012447,Loftus
E05012448,Longbeck
E05012449,Newcomen
E05012450,Normanby
E05012451,Ormesby
E05012452,St Germain's
E05012453,Saltburn
E05012454,Skelton East
E05012455,Skelton West
E05012456,South Bank
E05012457,Teesville
E05012458,West Dyke
E05012459,Wheatlands
E05012460,Zetland
E05001527,Billingham Central
E05001528,Billingham East
E05001529,Billingham North
E05001530,Billingham South
E05001531,Billingham West
E05001532,Bishopsgarth and Elm Tree
E05001533,Eaglescliffe
E05001534,Fairfield
E05001535,Grangefield
E05001536,Hardwick and Salters Lane
E05001537,Hartburn
E05001538,Ingleby Barwick East
E05001539,Ingleby Barwick West
E05001540,Mandale and Victoria
E05001541,Newtown
E05001542,Northern Parishes
E05001543,Norton North
E05001544,Norton South
E05001545,Norton West
E05001546,Parkfield and Oxbridge
E05001547,Roseworth
E05001548,Stainsby Hill
E05001549,Stockton Town Centre
E05001550,Village
E05001551,Western Parishes
E05001552,Yarm
E05010412,Bank Top & Lascelles
E05010413,Brinkburn & Faverdale
E05010414,Cockerton
E05010415,College
E05010416,Eastbourne
E05010417,Harrowgate Hill
E05010418,Haughton & Springfield
E05010419,Heighington & Coniscliffe
E05010420,Hummersknott
E05010421,Hurworth
E05010422,Mowden
E05010423,North Road
E05010424,Northgate
E05010425,Park East
E05010426,Park West
E05010427,Pierremont
E05010428,Red Hall & Lingfield
E05010429,Sadberge & Middleton St George
E05010430,Stephenson
E05010431,Whinfield
E05009030,Annfield Plain
E05009031,Aycliffe East
E05009032,Aycliffe North and Middridge
E05009033,Aycliffe West
E05009034,Barnard Castle East
E05009035,Barnard Castle West
E05009036,Belmont
E05009037,Benfieldside
E05009038,Bishop Auckland Town
E05009039,Bishop Middleham and Cornforth
E05009040,Blackhalls
E05009041,Brandon
E05009042,Burnopfield and Dipton
E05009043,Chester-le-Street East
E05009044,Chester-le-Street North
E05009045,Chester-le-Street South
E05009046,Chester-le-Street West Central
E05009047,Chilton
E05009048,Consett North
E05009049,Consett South
E05009050,Coundon
E05009051,Coxhoe
E05009052,Craghead and South Moor
E05009053,Crook
E05009054,Dawdon
E05009055,Deerness
E05009056,Delves Lane
E05009057,Deneside
E05009058,Durham South
E05009059,Easington
E05009060,Elvet and Gilesgate
E05009061,Esh and Witton Gilbert
E05009062,Evenwood
E05009063,Ferryhill
E05009064,Framwellgate and Newton Hall
E05009065,Horden
E05009066,Lanchester
E05009067,Leadgate and Medomsley
E05009068,Lumley
E05009069,Murton
E05009070,Neville's Cross
E05009071,North Lodge
E05009072,Passfield
E05009073,Pelton
E05009074,Peterlee East
E05009075,Peterlee West
E05009076,Sacriston
E05009077,Seaham
E05009078,Sedgefield
E05009079,Sherburn
E05009080,Shildon and Dene Valley
E05009081,Shotton and South Hetton
E05009082,Spennymoor
E05009083,Stanley
E05009084,Tanfield
E05009085,Tow Law
E05009086,Trimdon and Thornley
E05009087,Tudhoe
E05009088,Weardale
E05009089,West Auckland
E05009090,Willington and Hunwick
E05009091,Wingate
E05009092,Woodhouse Close
E05009093,Alnwick
E05009094,Amble
E05009095,Amble West with Warkworth
E05009096,Ashington Central
E05009097,Bamburgh
E05009098,Bedlington Central
E05009099,Bedlington East
E05009100,Bedlington West
E05009101,Bellingham
E05009102,Berwick East
E05009103,Berwick North
E05009104,Berwick West with Ord
E05009106,Bywell
E05009107,Choppington
E05009108,College
E05009109,Corbridge
E05009110,Cowpen
E05009111,Cramlington East
E05009112,Cramlington Eastfield
E05009113,Cramlington North
E05009114,Cramlington South East
E05009115,Cramlington Village
E05009116,Cramlington West
E05009117,Croft
E05009118,Druridge Bay
E05009119,Haltwhistle
E05009120,Hartley
E05009121,Haydon
E05009122,Haydon and Hadrian
E05009123,Hexham Central with Acomb
E05009124,Hexham East
E05009125,Hexham West
E05009126,Hirst
E05009127,Holywell
E05009128,Humshaugh
E05009129,Isabella
E05009130,Kitty Brewster
E05009131,Longhorsley
E05009132,Longhoughton
E05009133,Lynemouth
E05009134,Morpeth Kirkhill
E05009135,Morpeth North
E05009136,Morpeth Stobhill
E05009137,Newbiggin Central and East
E05009139,Norham and Islandshires
E05009141,Plessey
E05009142,Ponteland East and Stannington
E05009143,Ponteland North
E05009144,Ponteland South with Heddon
E05009145,Ponteland West
E05009146,Prudhoe North
E05009147,Prudhoe South
E05009148,Rothbury
E05009149,Seaton with Newbiggin West
E05009151,Shilbottle
E05009152,Sleekburn
E05009153,South Blyth
E05009154,South Tynedale
E05009155,Stakeford
E05009156,Stocksfield and Broomhaugh
E05009157,Wensleydale
E05009158,Wooler
E05013270,Newsham
E05013271,Seghill with Seaton Delaval
E05013862,Bothal
E05013863,Pegswood
E05014171,Aspatria
E05014175,Bothel and Wharrels
E05014181,Cockermouth North
E05014182,Cockermouth South
E05014186,Dearham and Broughton
E05014193,Harrington
E05014198,Keswick
E05014200,Maryport North
E05014201,Maryport South
E05014206,Moss Bay and Moorclose
E05014207,St John's and Great Clifton
E05014208,St Michael's
E05014209,Seaton
E05014210,Solway Coast
E05014212,Thursby
E05014215,Wigton
E05014222,Dalton North
E05014223,Dalton South
E05014228,Hawcoat and Newbarns
E05014240,Old Barrow and Hindpool
E05014241,Ormsgill and Parkside
E05014244,Risedale and Roosecote
E05014248,Walney Island
E05014172,Belah
E05014173,Belle Vue
E05014174,Botcherby
E05014176,Brampton
E05014178,Castle
E05014183,Corby and Hayton
E05014184,Currock
E05014185,Dalston and Burgh
E05014187,Denton Holme
E05014191,Harraby North
E05014192,Harraby South
E05014195,Houghton and Irthington
E05014199,Longtown
E05014205,Morton
E05014211,Stanwix Urban
E05014213,Upperby
E05014214,Wetheral
E05014216,Yewdale
E05014177,Bransty
E05014179,Cleator Moor East and Frizington
E05014180,Cleator Moor West
E05014188,Egremont
E05014189,Egremont North and St Bees
E05014190,Gosforth
E05014194,Hillcrest and Hensingham
E05014196,Howgate
E05014197,Kells and Sandwith
E05014202,Millom
E05014203,Millom Without
E05014204,Mirehouse
E05014217,Alston and Fellside
E05014218,Appleby and Brough
E05014224,Eamont and Shap
E05014225,Eden and Lyvennet Vale
E05014227,Greystoke and Ullswater
E05014229,Hesket and Lazonby
E05014237,Kirkby Stephen and Tebay
E05014242,Penrith North
E05014243,Penrith South
E05014219,Bowness and Lyth
E05014220,Burton and Holme
E05014221,Coniston and Hawkshead
E05014226,Grange and Cartmel
E05014230,High Furness
E05014231,Kendal Castle
E05014232,Kendal Highgate
E05014233,Kendal Nether
E05014234,Kendal South
E05014235,Kendal Strickland and Fell
E05014236,Kent Estuary
E05014238,Levens and Crooklands
E05014239,Low Furness
E05014245,Sedbergh and Kirkby Lonsdale
E05014246,Ulverston
E05014247,Upper Kent
E05014249,Windermere and Ambleside
E05005150,Bank Hall
E05005151,Briercliffe
E05005152,Brunshaw
E05005153,Cliviger with Worsthorne
E05005154,Coal Clough with Deerplay
E05005155,Daneshouse with Stoneyholme
E05005156,Gannow
E05005157,Gawthorpe
E05005158,Hapton with Park
E05005159,Lanehead
E05005160,Queensgate
E05005161,Rosegrove with Lowerhouse
E05005162,Rosehill with Burnley Wood
E05005163,Trinity
E05005164,Whittlefield with Ightenhill
E05013064,Adlington & Anderton
E05013065,Buckshaw & Whittle
E05013066,Chorley East
E05013067,Chorley North East
E05013068,Chorley North West
E05013069,Chorley North & Astley
E05013070,Chorley South East & Heath Charnock
E05013071,Chorley South West
E05013072,"Clayton East, Brindle & Hoghton"
E05013073,Clayton West & Cuerden
E05013074,Coppull
E05013075,"Croston, Mawdesley & Euxton South"
E05013076,"Eccleston, Heskin & Charnock Richard"
E05013077,Euxton
E05005185,Ansdell
E05005186,Ashton
E05005187,Central
E05005188,Clifton
E05005189,Elswick and Little Eccleston
E05005190,Fairhaven
E05005191,Freckleton East
E05005192,Freckleton West
E05005193,Heyhouses
E05005194,Kilnhouse
E05005195,Kirkham North
E05005196,Kirkham South
E05005197,Medlar-with-Wesham
E05005198,Newton and Treales
E05005199,Park
E05005200,Ribby-with-Wrea
E05005201,St Johns
E05005202,St Leonards
E05005203,Singleton and Greenhalgh
E05005204,Staining and Weeton
E05005205,Warton and Westby
E05005206,Altham
E05005207,Barnfield
E05005208,Baxenden
E05005209,Central
E05005210,Church
E05005211,Clayton-le-Moors
E05005212,Huncoat
E05005213,Immanuel
E05005214,Milnshaw
E05005215,Netherton
E05005216,Overton
E05005217,Peel
E05005218,Rishton
E05005219,St Andrew's
E05005220,St Oswald's
E05005221,Spring Hill
E05009592,Bare
E05009593,Bolton & Slyne
E05009594,Bulk
E05009595,Carnforth & Millhead
E05009596,Castle
E05009597,Ellel
E05009598,Halton-with-Aughton
E05009599,Harbour
E05009600,Heysham Central
E05009601,Heysham North
E05009602,Heysham South
E05009603,John O'Gaunt
E05009604,Kellet
E05009605,Lower Lune Valley
E05009606,Marsh
E05009607,Overton
E05009608,Poulton
E05009609,Scotforth East
E05009610,Scotforth West
E05009611,Silverdale
E05009612,Skerton East
E05009613,Skerton West
E05009614,Torrisholme
E05009615,University & Scotforth Rural
E05009616,Upper Lune Valley
E05009617,Warton
E05009618,Westgate
E05013200,Barnoldswick
E05013201,Barrowford & Pendleside
E05013202,Boulsworth & Foulridge
E05013203,Bradley
E05013204,Brierfield East & Clover Hill
E05013205,Brierfield West & Reedley
E05013206,Earby & Coates
E05013207,Fence & Higham
E05013208,Marsden & Southfield
E05013209,Vivary Bridge
E05013210,Waterside & Horsfield
E05013211,Whitefield & Walverden
E05012193,Ashton
E05012194,Brookfield
E05012195,Cadley
E05012196,City Centre
E05012197,Deepdale
E05012198,Fishwick & Frenchwood
E05012199,Garrison
E05012200,Greyfriars
E05012201,Ingol & Cottam
E05012202,Lea & Larches
E05012203,Plungington
E05012204,Preston Rural East
E05012205,Preston Rural North
E05012206,Ribbleton
E05012207,St Matthew's
E05012208,Sharoe Green
E05012000,Alston & Hothersall
E05012001,Billington & Langho
E05012002,Bowland
E05012003,Brockhall & Dinckley
E05012004,Chatburn
E05012005,Chipping
E05012006,Clayton-le-Dale & Salesbury
E05012007,Derby & Thornley
E05012008,Dilworth
E05012009,"East Whalley, Read & Simonstone"
E05012010,Edisford & Low Moor
E05012011,Gisburn & Rimington
E05012012,Hurst Green & Whitewell
E05012013,Littlemoor
E05012014,Mellor
E05012015,Primrose
E05012016,Ribchester
E05012017,Sabden
E05012018,St Mary's
E05012019,Salthill
E05012020,"Waddington, Bashall Eaves & Mitton"
E05012021,West Bradford & Grindleton
E05012022,Whalley & Painter Wood
E05012023,Whalley Nethertown
E05012024,Wilpshire & Ramsgreave
E05012025,Wiswell & Barrow
E05005316,Cribden
E05005317,Eden
E05005318,Facit and Shawforth
E05005319,Goodshaw
E05005320,Greenfield
E05005321,Greensclough
E05005322,Hareholme
E05005323,Healey and Whitworth
E05005324,Helmshore
E05005325,Irwell
E05005326,Longholme
E05005327,Stacksteads
E05005328,Whitewell
E05005329,Worsley
E05010214,Bamber Bridge East
E05010215,Bamber Bridge West
E05010216,Broad Oak
E05010217,Broadfield
E05010218,Buckshaw & Worden
E05010219,Charnock
E05010220,Coupe Green & Gregson Lane
E05010221,Earnshaw Bridge
E05010222,Farington East
E05010223,Farington West
E05010224,Hoole
E05010225,Howick & Priory
E05010226,Leyland Central
E05010227,Longton & Hutton West
E05010228,Lostock Hall
E05010229,Middleforth
E05010230,Moss Side
E05010231,New Longton & Hutton East
E05010232,St Ambrose
E05010233,Samlesbury & Walton
E05010234,Seven Stars
E05010235,Walton-le-Dale East
E05010236,Walton-le-Dale West
E05005357,Ashurst
E05005358,Aughton and Downholland
E05005359,Aughton Park
E05005360,Birch Green
E05005361,Burscough East
E05005362,Burscough West
E05005363,Derby
E05005364,Digmoor
E05005365,Halsall
E05005366,Hesketh-with-Becconsall
E05005367,Knowsley
E05005368,Moorside
E05005369,North Meols
E05005370,Parbold
E05005371,Rufford
E05005372,Scarisbrick
E05005373,Scott
E05005374,Skelmersdale North
E05005375,Skelmersdale South
E05005376,Tanhouse
E05005377,Tarleton
E05005378,Up Holland
E05005379,Wrightington
E05005380,Bickerstaffe
E05005381,Newburgh
E05009932,Bourne
E05009933,Breck
E05009934,Brock with Catterall
E05009935,Calder
E05009936,Carleton
E05009937,Cleveleys Park
E05009938,Garstang
E05009939,Great Eccleston
E05009940,Hambleton & Stalmine
E05009941,Hardhorn with High Cross
E05009942,Jubilee
E05009943,Marsh Mill
E05009944,Mount
E05009945,Park
E05009946,Pharos
E05009947,Pheasant's Wood
E05009948,Pilling
E05009949,Preesall
E05009950,Rossall
E05009951,Stanah
E05009952,Tithebarn
E05009953,Victoria & Norcross
E05009954,Warren
E05009955,Wyresdale
E05000650,Astley Bridge
E05000651,Bradshaw
E05000652,Breightmet
E05000653,Bromley Cross
E05000654,Crompton
E05000655,Farnworth
E05000656,Great Lever
E05000657,Halliwell
E05000658,Harper Green
E05000659,Heaton and Lostock
E05000660,Horwich and Blackrod
E05000661,Horwich North East
E05000662,Hulton
E05000663,Kearsley
E05000664,Little Lever and Darcy Lever
E05000665,Rumworth
E05000666,Smithills
E05000667,Tonge with the Haulgh
E05000668,Westhoughton North and Chew Moor
E05000669,Westhoughton South
E05014152,Besses
E05014153,Bury East
E05014154,Bury West
E05014155,Elton
E05014156,Holyrood
E05014157,Moorside
E05014158,North Manor
E05014159,Pilkington Park
E05014160,Radcliffe East
E05014161,Radcliffe North & Ainsworth
E05014162,Radcliffe West
E05014163,Ramsbottom
E05014164,Redvales
E05014165,Sedgley
E05014166,St. Mary's
E05014167,Tottington
E05014168,Unsworth
E05011350,Ancoats & Beswick
E05011351,Ardwick
E05011352,Baguley
E05011353,Brooklands
E05011354,Burnage
E05011355,Charlestown
E05011356,Cheetham
E05011357,Chorlton
E05011358,Chorlton Park
E05011359,Clayton & Openshaw
E05011360,Crumpsall
E05011361,Deansgate
E05011362,Didsbury East
E05011363,Didsbury West
E05011364,Fallowfield
E05011365,Gorton & Abbey Hey
E05011366,Harpurhey
E05011367,Higher Blackley
E05011368,Hulme
E05011369,Levenshulme
E05011370,Longsight
E05011371,Miles Platting & Newton Heath
E05011372,Moss Side
E05011373,Moston
E05011374,Northenden
E05011375,Old Moat
E05011376,Piccadilly
E05011377,Rusholme
E05011378,Sharston
E05011379,Whalley Range
E05011380,Withington
E05011381,Woodhouse Park
E05000719,Alexandra
E05000720,Chadderton Central
E05000721,Chadderton North
E05000722,Chadderton South
E05000723,Coldhurst
E05000724,Crompton
E05000725,Failsworth East
E05000726,Failsworth West
E05000727,Hollinwood
E05000728,Medlock Vale
E05000729,Royton North
E05000730,Royton South
E05000731,Saddleworth North
E05000732,Saddleworth South
E05000733,Saddleworth West and Lees
E05000734,St James'
E05000735,St Mary's
E05000736,Shaw
E05000737,Waterhead
E05000738,Werneth
E05014033,Balderstone & Kirkholt
E05014034,Bamford
E05014035,Castleton
E05014036,Central Rochdale
E05014037,East Middleton
E05014038,Healey
E05014039,Hopwood Hall
E05014040,Kingsway
E05014041,Littleborough Lakeside
E05014042,Milkstone & Deeplish
E05014043,Milnrow & Newhey
E05014044,Norden
E05014045,North Heywood
E05014046,North Middleton
E05014047,Smallbridge & Firgrove
E05014048,South Middleton
E05014049,Spotland & Falinge
E05014050,"Wardle, Shore & West Littleborough"
E05014051,West Heywood
E05014052,West Middleton
E05013018,Barton & Winton
E05013019,Blackfriars & Trinity
E05013020,Boothstown & Ellenbrook
E05013021,Broughton
E05013022,Cadishead & Lower Irlam
E05013023,Claremont
E05013024,Eccles
E05013025,Higher Irlam & Peel Green
E05013026,Kersal & Broughton Park
E05013027,Little Hulton
E05013028,Ordsall
E05013029,Pendlebury & Clifton
E05013030,Pendleton & Charlestown
E05013031,Quays
E05013032,Swinton & Wardley
E05013033,Swinton Park
E05013034,Walkden North
E05013035,Walkden South
E05013036,Weaste & Seedley
E05013037,Worsley & Westwood Park
E05000779,Bramhall North
E05000780,Bramhall South and Woodford
E05000781,Bredbury and Woodley
E05000782,Bredbury Green and Romiley
E05000783,Brinnington and Central
E05000784,Cheadle and Gatley
E05000785,Cheadle Hulme North
E05000786,Cheadle Hulme South
E05000787,Davenport and Cale Green
E05000788,Edgeley and Cheadle Heath
E05000789,Hazel Grove
E05000790,Heald Green
E05000791,Heatons North
E05000792,Heatons South
E05000793,Manor
E05000794,Marple North
E05000795,Marple South and High Lane
E05000796,Offerton
E05000797,Reddish North
E05000798,Reddish South
E05000799,Stepping Hill
E05000800,Ashton Hurst
E05000801,Ashton St Michael's
E05000802,Ashton Waterloo
E05000803,Audenshaw
E05000804,Denton North East
E05000805,Denton South
E05000806,Denton West
E05000807,Droylsden East
E05000808,Droylsden West
E05000809,Dukinfield
E05000810,Dukinfield Stalybridge
E05000811,Hyde Godley
E05000812,Hyde Newton
E05000813,Hyde Werneth
E05000814,Longdendale
E05000815,Mossley
E05000816,St Peter's
E05000817,Stalybridge North
E05000818,Stalybridge South
E05000819,Altrincham
E05000820,Ashton upon Mersey
E05000821,Bowdon
E05000822,Broadheath
E05000823,Brooklands
E05000824,Bucklow-St Martins
E05000825,Clifford
E05000826,Davyhulme East
E05000827,Davyhulme West
E05000828,Flixton
E05000829,Gorse Hill
E05000830,Hale Barns
E05000831,Hale Central
E05000832,Longford
E05000833,Priory
E05000834,St Mary's
E05000835,Sale Moor
E05000836,Stretford
E05000837,Timperley
E05000838,Urmston
E05000839,Village
E05000840,Abram
E05000841,Ashton
E05000842,Aspull New Springs Whelley
E05000843,Astley Mosley Common
E05000844,Atherleigh
E05000845,Atherton
E05000846,Bryn
E05000847,Douglas
E05000848,Golborne and Lowton West
E05000849,Hindley
E05000850,Hindley Green
E05000851,Ince
E05000852,Leigh East
E05000853,Leigh South
E05000854,Leigh West
E05000855,Lowton East
E05000856,Orrell
E05000857,Pemberton
E05000858,Shevington with Lower Ground
E05000859,Standish with Langtree
E05000860,Tyldesley
E05000861,Wigan Central
E05000862,Wigan West
E05000863,Winstanley
E05000864,Worsley Mesnes
E05010935,Cherryfield
E05010936,Halewood North
E05010937,Halewood South
E05010938,Northwood
E05010939,Page Moss
E05010940,Prescot North
E05010941,Prescot South
E05010942,Roby
E05010943,Shevington
E05010944,St Gabriels
E05010945,St Michaels
E05010946,Stockbridge
E05010947,Swanside
E05010948,Whiston and Cronton
E05010949,Whitefield
E05000886,Allerton and Hunts Cross
E05000887,Anfield
E05000888,Belle Vale
E05000889,Central
E05000890,Childwall
E05000891,Church
E05000892,Clubmoor
E05000893,County
E05000894,Cressington
E05000895,Croxteth
E05000896,Everton
E05000897,Fazakerley
E05000898,Greenbank
E05000899,Kensington and Fairfield
E05000900,Kirkdale
E05000901,Knotty Ash
E05000902,Mossley Hill
E05000903,Norris Green
E05000904,Old Swan
E05000905,Picton
E05000906,Princes Park
E05000907,Riverside
E05000908,St Michael's
E05000909,Speke-Garston
E05000910,Tuebrook and Stoneycroft
E05000911,Warbreck
E05000912,Wavertree
E05000913,West Derby
E05000914,Woolton
E05000915,Yew Tree
E05014120,Billinge & Seneley Green
E05014121,Blackbrook
E05014122,Bold & Lea Green
E05014123,Eccleston
E05014124,Haydock
E05014125,Moss Bank
E05014126,Newton-le-Willows East
E05014127,Newton-le-Willows West
E05014128,Parr
E05014129,Peasley Cross & Fingerpost
E05014130,Rainford
E05014131,Rainhill
E05014132,St Helens Town Centre
E05014133,Sutton North West
E05014134,Sutton South East
E05014135,Thatto Heath
E05014136,West Park
E05014137,Windle
E05000932,Ainsdale
E05000933,Birkdale
E05000934,Blundellsands
E05000935,Cambridge
E05000936,Church
E05000937,Derby
E05000938,Duke's
E05000939,Ford
E05000940,Harington
E05000941,Kew
E05000942,Linacre
E05000943,Litherland
E05000944,Manor
E05000945,Meols
E05000946,Molyneux
E05000947,Netherton and Orrell
E05000948,Norwood
E05000949,Park
E05000950,Ravenmeols
E05000951,St Oswald
E05000952,Sudell
E05000953,Victoria
E05000954,Bebington
E05000955,Bidston and St James
E05000956,Birkenhead and Tranmere
E05000957,Bromborough
E05000958,Clatterbridge
E05000959,Claughton
E05000960,Eastham
E05000961,"Greasby, Frankby and Irby"
E05000962,Heswall
E05000963,Hoylake and Meols
E05000964,Leasowe and Moreton East
E05000965,Liscard
E05000966,Moreton West and Saughall Massie
E05000967,New Brighton
E05000968,Oxton
E05000969,Pensby and Thingwall
E05000970,Prenton
E05000971,Rock Ferry
E05000972,Seacombe
E05000973,Upton
E05000974,Wallasey
E05000975,West Kirby and Thurstaston
E05013169,Appleton
E05013170,Bankfield
E05013171,Beechwood & Heath
E05013172,Birchfield
E05013173,Bridgewater
E05013174,Central & West Bank
E05013175,"Daresbury, Moore & Sandymoor"
E05013176,"Ditton, Hale Village & Halebank"
E05013177,Farnworth
E05013178,Grange
E05013179,Halton Castle
E05013180,Halton Lea
E05013181,Halton View
E05013182,Highfield
E05013183,Hough Green
E05013184,Mersey & Weston
E05013185,Norton North
E05013186,Norton South & Preston Brook
E05011024,Appleton
E05011025,Bewsey and Whitecross
E05011026,Birchwood
E05011027,Burtonwood and Winwick
E05011028,Chapelford and Old Hall
E05011029,"Culcheth, Glazebury and Croft"
E05011030,Fairfield and Howley
E05011031,Grappenhall
E05011032,Great Sankey North and Whittle Hall
E05011033,Great Sankey South
E05011034,Latchford East
E05011035,Latchford West
E05011036,Lymm North and Thelwall
E05011037,Lymm South
E05011038,Orford
E05011039,Penketh and Cuerdley
E05011040,Poplars and Hulme
E05011041,Poulton North
E05011042,Poulton South
E05011043,Rixton and Woolston
E05011044,Stockton Heath
E05011045,Westbrook
E05011508,Audley & Queen's Park
E05011509,Bastwell & Daisyfield
E05011510,Billinge & Beardwood
E05011511,Blackburn Central
E05011512,Blackburn South & Lower Darwen
E05011513,Blackburn South East
E05011514,Darwen East
E05011515,Darwen South
E05011516,Darwen West
E05011517,Ewood
E05011518,Little Harwood & Whitebirk
E05011519,Livesey with Pleasington
E05011520,Mill Hill & Moorgate
E05011521,Roe Lee
E05011522,Shear Brow & Corporation Park
E05011523,Wensley Fold
E05011524,West Pennine
E05001643,Anchorsholme
E05001644,Bispham
E05001645,Bloomfield
E05001646,Brunswick
E05001647,Claremont
