dimension_name,dimension
Housing Benefit Claimants,str:count:hb_full:V_F_HB_FULL
Month,str:field:hb_full:V_F_DATE:DATE2
Geography (admin-based),str:group:hb_full:X_Geography+%28admin-based%29
Geography (residence-based),str:group:hb_full:X_Geography+%28residence-based%29
Age of Claimant (years and bands),str:field:hb_full:V_F_HB_FULL:AGE_YEAR
Age of Claimant (bands only),str:field:hb_full:V_F_HB_FULL:AGE_BAND
Family Type,str:field:hb_full:V_F_HB_FULL:FAMILY_PUB
Number of Child-Dependants,str:field:hb_full:V_F_HB_FULL:NUM_DEPS
Number of Non-Dependants,str:field:hb_full:V_F_HB_FULL:NUM_NDEPS
Gender (single claimants only),str:field:hb_full:V_F_HB_FULL:SINGLE_GEN
Private or Social Rented,str:field:hb_full:V_F_HB_FULL:TENURE_PUB
Detailed Housing Type,str:field:hb_full:V_F_HB_FULL:SECTOR_PUB
Entitled Bedrooms (LHA only),str:field:hb_full:V_F_HB_FULL:LHAROOM
Passported Benefit Status,str:field:hb_full:V_F_HB_FULL:PASSPORTIND
Employment Status,str:field:hb_full:V_F_HB_FULL:EMP
Weekly Award Amount (bands),str:field:hb_full:V_F_HB_FULL:AMT_BAND_LOW
Payment Destination,str:field:hb_full:V_F_HB_FULL:CCPAYDEST
Removal of Spare Room Subsidy,str:group:hb_full:X_Removal+of+Spare+Room+Subsidy
