dimension_name,dimension
Month,str:field:PIP_AR_COC_Clearances_post2016:F_PIP_DATE_POST2016:DATE2
Geography (residence-based) - SELECT POLICY OWNERSHIP,str:group:PIP_AR_COC_Clearances_post2016:X_Geography+%28residence-based%29+-+SELECT+POLICY+OWNERSHIP
Age (bands and single year),str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:SINGLE_AGE
Award After,str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:PIP_AWARD_after
Award Before,str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:PIP_AWARD_BEFORE
Disability,str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:DISABILITY_CODE
Gender,str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:SEX
ICD Summary Code,str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:ICD_SUMMARY_CODE
Intervention Indicator,str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:PIP_INTERVENTION_TYPE_IND
Outcome,str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:Outcome
Re-assessment Indicator,str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:REASS_TYPE_IND
State Pension Age,str:field:PIP_AR_COC_Clearances_post2016:V_F_PIP_AR_COC_CLEARANCES_POST2016:SPA
